$0;1494868625190227546;1.10;KIEKER-SINGLETON;342660d3932c;1;false;0;NANOSECONDS;1
$1;1494868625187694529;HTTP_API-Gateway.gateway.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873666;1494868625108867441;1494868625187358527;342660d3932c;0;0
$1;1494868625207545092;api.customer.owners.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873665;1494868623460252769;1494868625207518068;342660d3932c;0;0
$1;1494868628100801170;HTTP_API-Gateway.gateway.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873667;1494868628033992807;1494868628100785850;342660d3932c;0;0
$1;1494868628295745401;HTTP_API-Gateway.gateway.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873668;1494868628286337647;1494868628295725381;342660d3932c;0;0
$1;1494868664788743265;HTTP_API-Gateway.gateway.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873669;1494868664776154934;1494868664788710840;342660d3932c;0;0
$1;1494868666320343005;HTTP_API-Gateway.gateway.GET;FDC8F3AD6E5717A78395EB59CA630881;6922595577221873670;1494868666305881681;1494868666320293984;342660d3932c;0;0
$1;1494868675072838447;api.customer.owners.GET;F2A53D661853B0B058D911504C37B579;6922595577221873671;1494868674308092672;1494868675072829933;342660d3932c;0;0
$1;1494868693167621950;HTTP_API-Gateway.gateway.GET;F2A53D661853B0B058D911504C37B579;6922595577221873673;1494868693162397932;1494868693167597474;342660d3932c;0;0
$1;1494868693169690101;api.visit.owners.1.pets.1.visits.GET;F2A53D661853B0B058D911504C37B579;6922595577221873672;1494868691640700733;1494868693169679702;342660d3932c;0;0
$1;1494868697239817004;api.visit.owners.1.pets.1.visits.GET;F2A53D661853B0B058D911504C37B579;6922595577221873674;1494868697170452150;1494868697239808771;342660d3932c;0;0
$1;1494868713499674671;HTTP_API-Gateway.gateway.GET;F2A53D661853B0B058D911504C37B579;6922595577221873676;1494868713484174907;1494868713499652061;342660d3932c;0;0
$1;1494868713501038227;api.vet.vets.GET;F2A53D661853B0B058D911504C37B579;6922595577221873675;1494868712147091159;1494868713501026937;342660d3932c;0;0
$1;1494868718151122573;api.vet.vets.GET;F2A53D661853B0B058D911504C37B579;6922595577221873677;1494868718112829910;1494868718151113571;342660d3932c;0;0
