$0;1494946395077725107;1.10;KIEKER-SINGLETON;e01a29ffcce8;1;false;0;NANOSECONDS;1
$1;1494946395076858234;HTTP_API-Gateway.gateway.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800194;1494946394897016634;1494946395076541781;e01a29ffcce8;0;0
$1;1494946395084494176;api.ownersGET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800193;1494946391451562207;1494946395084464888;e01a29ffcce8;0;0
$1;1494946399900131098;HTTP_API-Gateway.gateway.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800196;1494946399885448084;1494946399900107865;e01a29ffcce8;0;0
$1;1494946399903134698;api.vetsGET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800195;1494946397153685752;1494946399903125955;e01a29ffcce8;0;0
$1;1494946402058442103;api.ownersGET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800197;1494946401943731345;1494946402058434419;e01a29ffcce8;0;0
$1;1494946411372802790;HTTP_API-Gateway.gateway.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800199;1494946410857522076;1494946411372785001;e01a29ffcce8;0;0
$1;1494946418568230374;HTTP_API-Gateway.gateway.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800201;1494946418552966859;1494946418568137533;e01a29ffcce8;0;0
$1;1494946422527679527;api.ownersGET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800203;1494946422432439834;1494946422527670509;e01a29ffcce8;0;0
$1;1494946430662687185;api.ownersGET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800205;1494946430511823372;1494946430662650858;e01a29ffcce8;0;0
$1;1494946458567938080;api.petsNumberedGET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800207;1494946458471114461;1494946458567930326;e01a29ffcce8;0;0
$1;1494946474704116465;HTTP_API-Gateway.gateway.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800208;1494946474691869456;1494946474704097432;e01a29ffcce8;0;0
$1;1494946476650771165;HTTP_API-Gateway.gateway.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800209;1494946476642574746;1494946476650756682;e01a29ffcce8;0;0
$1;1494946482839272187;HTTP_API-Gateway.gateway.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800211;1494946482830337311;1494946482839252281;e01a29ffcce8;0;0
$1;1494946482840333679;api.visitsGET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800210;1494946480625582050;1494946482840323316;e01a29ffcce8;0;0
$1;1494946485013098866;api.visitsGET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800212;1494946484942879697;1494946485013088740;e01a29ffcce8;0;0
