$0;1496429344993339930;1.10;KIEKER-SINGLETON;8310d5ebc3f3;1;false;0;NANOSECONDS;1
$1;1496429344991742961;HTTP_API-Gateway.gateway.GET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132033;1496429344529758316;1496429344991045257;8310d5ebc3f3;0;0
$1;1496429347185406758;api.vetsGET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132034;1496429345070801383;1496429347185327698;8310d5ebc3f3;0;0
$1;1496429347888444967;api.ownersGET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132035;1496429347196304112;1496429347888422416;8310d5ebc3f3;0;0
$1;1496429347960717115;api.ownersNumberedGET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132036;1496429347896154377;1496429347960690491;8310d5ebc3f3;0;0
$1;1496429348330381035;api.ownersNumberedPUT;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132037;1496429348168600641;1496429348330357088;8310d5ebc3f3;0;0
$1;1496429348411463377;api.petsNumberedGET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132038;1496429348336746083;1496429348411438467;8310d5ebc3f3;0;0
$1;1496429349214823046;api.visitsGET;CECE7DF6C1CD6C61B4C86B6D283A9310;8425812690345132039;1496429348417426468;1496429349214801490;8310d5ebc3f3;0;0
$1;1496429349237515958;HTTP_API-Gateway.gateway.GET;8160673B3E051776611B2B52992289D7;8425812690345132040;1496429349229148054;1496429349237418003;8310d5ebc3f3;0;0
$1;1496429349296725939;api.vetsGET;8160673B3E051776611B2B52992289D7;8425812690345132041;1496429349244339769;1496429349296700941;8310d5ebc3f3;0;0
$1;1496429349364197035;api.ownersGET;8160673B3E051776611B2B52992289D7;8425812690345132042;1496429349302546933;1496429349364176011;8310d5ebc3f3;0;0
$1;1496429349393143726;api.ownersNumberedGET;8160673B3E051776611B2B52992289D7;8425812690345132043;1496429349369157862;1496429349393120494;8310d5ebc3f3;0;0
$1;1496429349447357812;api.ownersNumberedPUT;8160673B3E051776611B2B52992289D7;8425812690345132044;1496429349410045522;1496429349447328980;8310d5ebc3f3;0;0
$1;1496429349479706174;api.petsNumberedGET;8160673B3E051776611B2B52992289D7;8425812690345132045;1496429349452387732;1496429349479680107;8310d5ebc3f3;0;0
$1;1496429349521114785;api.visitsGET;8160673B3E051776611B2B52992289D7;8425812690345132046;1496429349484533200;1496429349521092548;8310d5ebc3f3;0;0
$1;1496429349534833378;HTTP_API-Gateway.gateway.GET;9E98331D858C4768597AA467D30A5C8B;8425812690345132047;1496429349528584037;1496429349534782661;8310d5ebc3f3;0;0
$1;1496429349582272635;api.vetsGET;9E98331D858C4768597AA467D30A5C8B;8425812690345132048;1496429349539162471;1496429349582252362;8310d5ebc3f3;0;0
$1;1496429349637157843;api.ownersGET;9E98331D858C4768597AA467D30A5C8B;8425812690345132049;1496429349586712837;1496429349637139805;8310d5ebc3f3;0;0
$1;1496429349663878111;api.ownersNumberedGET;9E98331D858C4768597AA467D30A5C8B;8425812690345132050;1496429349641880867;1496429349663858620;8310d5ebc3f3;0;0
$1;1496429349709108171;api.ownersNumberedPUT;9E98331D858C4768597AA467D30A5C8B;8425812690345132051;1496429349680420734;1496429349709086452;8310d5ebc3f3;0;0
$1;1496429349735828368;api.petsNumberedGET;9E98331D858C4768597AA467D30A5C8B;8425812690345132052;1496429349713714642;1496429349735811996;8310d5ebc3f3;0;0
$1;1496429349770068877;api.visitsGET;9E98331D858C4768597AA467D30A5C8B;8425812690345132053;1496429349741567249;1496429349770043573;8310d5ebc3f3;0;0
$1;1496429349782218283;HTTP_API-Gateway.gateway.GET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132054;1496429349776069512;1496429349782165896;8310d5ebc3f3;0;0
$1;1496429349829093924;api.vetsGET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132055;1496429349787533193;1496429349829070895;8310d5ebc3f3;0;0
$1;1496429349879933916;api.ownersGET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132056;1496429349833582669;1496429349879909355;8310d5ebc3f3;0;0
$1;1496429349906507729;api.ownersNumberedGET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132057;1496429349884758206;1496429349906487375;8310d5ebc3f3;0;0
$1;1496429349949625364;api.ownersNumberedPUT;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132058;1496429349921982083;1496429349949605374;8310d5ebc3f3;0;0
$1;1496429349979349614;api.petsNumberedGET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132059;1496429349954344451;1496429349979324132;8310d5ebc3f3;0;0
$1;1496429350006716906;api.visitsGET;8F6DF729C72535BA90553ACD41D3CE0F;8425812690345132060;1496429349984070468;1496429350006696754;8310d5ebc3f3;0;0
$1;1496429350019030036;HTTP_API-Gateway.gateway.GET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132061;1496429350012822582;1496429350018976547;8310d5ebc3f3;0;0
$1;1496429350057400001;api.vetsGET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132062;1496429350023129311;1496429350057381838;8310d5ebc3f3;0;0
$1;1496429350103451178;api.ownersGET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132063;1496429350061781613;1496429350103426775;8310d5ebc3f3;0;0
$1;1496429350131291830;api.ownersNumberedGET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132064;1496429350107887376;1496429350131205537;8310d5ebc3f3;0;0
$1;1496429350177221280;api.ownersNumberedPUT;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132065;1496429350148975831;1496429350177199375;8310d5ebc3f3;0;0
$1;1496429350201970021;api.petsNumberedGET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132066;1496429350181955934;1496429350201946537;8310d5ebc3f3;0;0
$1;1496429350229765678;api.visitsGET;A6030D80EE15F6EBFD3CDBCF222CED70;8425812690345132067;1496429350206463899;1496429350229734720;8310d5ebc3f3;0;0
$1;1496429350242000465;HTTP_API-Gateway.gateway.GET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132068;1496429350236260781;1496429350241942517;8310d5ebc3f3;0;0
$1;1496429350279861251;api.vetsGET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132069;1496429350245968053;1496429350279844704;8310d5ebc3f3;0;0
$1;1496429350328587464;api.ownersGET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132070;1496429350284138008;1496429350328566700;8310d5ebc3f3;0;0
$1;1496429350354693536;api.ownersNumberedGET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132071;1496429350333430210;1496429350354670886;8310d5ebc3f3;0;0
$1;1496429350395675864;api.ownersNumberedPUT;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132072;1496429350369605037;1496429350395658055;8310d5ebc3f3;0;0
$1;1496429350420051923;api.petsNumberedGET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132073;1496429350400342478;1496429350420029726;8310d5ebc3f3;0;0
$1;1496429350448045853;api.visitsGET;0E13592C62E6896F84C5E5BFB7809FB1;8425812690345132074;1496429350424692883;1496429350448023951;8310d5ebc3f3;0;0
$1;1496429350459113169;HTTP_API-Gateway.gateway.GET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132075;1496429350454445238;1496429350459056917;8310d5ebc3f3;0;0
$1;1496429350495742325;api.vetsGET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132076;1496429350463362639;1496429350495723851;8310d5ebc3f3;0;0
$1;1496429350536370389;api.ownersGET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132077;1496429350499803685;1496429350536345928;8310d5ebc3f3;0;0
$1;1496429350559089951;api.ownersNumberedGET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132078;1496429350540196258;1496429350559067812;8310d5ebc3f3;0;0
$1;1496429350596080383;api.ownersNumberedPUT;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132079;1496429350572584422;1496429350596058466;8310d5ebc3f3;0;0
$1;1496429350619500386;api.petsNumberedGET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132080;1496429350600467774;1496429350619480081;8310d5ebc3f3;0;0
$1;1496429350683248656;api.visitsGET;4FEB32D2F6BA4A645234BEE9F36CCB3C;8425812690345132081;1496429350623836302;1496429350683172026;8310d5ebc3f3;0;0
$1;1496429350693815638;HTTP_API-Gateway.gateway.GET;251A4DC506320FDD9A3BB2391663B225;8425812690345132082;1496429350688845627;1496429350693768739;8310d5ebc3f3;0;0
$1;1496429350733732660;api.vetsGET;251A4DC506320FDD9A3BB2391663B225;8425812690345132083;1496429350698230159;1496429350733705176;8310d5ebc3f3;0;0
$1;1496429350774506039;api.ownersGET;251A4DC506320FDD9A3BB2391663B225;8425812690345132084;1496429350737844091;1496429350774480025;8310d5ebc3f3;0;0
$1;1496429350797882312;api.ownersNumberedGET;251A4DC506320FDD9A3BB2391663B225;8425812690345132085;1496429350778887103;1496429350797859008;8310d5ebc3f3;0;0
$1;1496429350838029621;api.ownersNumberedPUT;251A4DC506320FDD9A3BB2391663B225;8425812690345132086;1496429350810981205;1496429350838010968;8310d5ebc3f3;0;0
$1;1496429350861703561;api.petsNumberedGET;251A4DC506320FDD9A3BB2391663B225;8425812690345132087;1496429350841996510;1496429350861678404;8310d5ebc3f3;0;0
$1;1496429350894973056;api.visitsGET;251A4DC506320FDD9A3BB2391663B225;8425812690345132088;1496429350866179894;1496429350894947568;8310d5ebc3f3;0;0
$1;1496429350904023360;HTTP_API-Gateway.gateway.GET;93A3F2DAAC0AB058824F011499D902F6;8425812690345132089;1496429350900398824;1496429350903973648;8310d5ebc3f3;0;0
$1;1496429350939352706;api.vetsGET;93A3F2DAAC0AB058824F011499D902F6;8425812690345132090;1496429350908453239;1496429350939331770;8310d5ebc3f3;0;0
$1;1496429350978918254;api.ownersGET;93A3F2DAAC0AB058824F011499D902F6;8425812690345132091;1496429350943566976;1496429350978893206;8310d5ebc3f3;0;0
