$0;1496595994620176098;1.10;KIEKER-SINGLETON;fe18f5d47736;1;false;0;NANOSECONDS;1
$1;1496595994618543277;HTTP_API-Gateway.gateway.GET;59E665DA1E9A666F0019938F242D139B;4047469427610877953;1496595994149824369;1496595994617858196;fe18f5d47736;0;0
$1;1496595996736367517;api.vetsGET;59E665DA1E9A666F0019938F242D139B;4047469427610877954;1496595994691603431;1496595996736290885;fe18f5d47736;0;0
$1;1496595997436185064;api.ownersGET;59E665DA1E9A666F0019938F242D139B;4047469427610877955;1496595996743880355;1496595997436160237;fe18f5d47736;0;0
$1;1496595997492913823;api.ownersNumberedGET;59E665DA1E9A666F0019938F242D139B;4047469427610877956;1496595997445989409;1496595997492891467;fe18f5d47736;0;0
$1;1496595997848114502;api.ownersNumberedPUT;59E665DA1E9A666F0019938F242D139B;4047469427610877957;1496595997692766058;1496595997848092003;fe18f5d47736;0;0
$1;1496595997924895030;api.petsNumberedGET;59E665DA1E9A666F0019938F242D139B;4047469427610877958;1496595997853687203;1496595997924872995;fe18f5d47736;0;0
$1;1496595998710064868;api.visitsGET;59E665DA1E9A666F0019938F242D139B;4047469427610877959;1496595997930348337;1496595998710041246;fe18f5d47736;0;0
$1;1496595998726833258;HTTP_API-Gateway.gateway.GET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877960;1496595998718638434;1496595998726768702;fe18f5d47736;0;0
$1;1496595998771859029;api.vetsGET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877961;1496595998733501846;1496595998771842627;fe18f5d47736;0;0
$1;1496595998838001295;api.ownersGET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877962;1496595998777095965;1496595998837981333;fe18f5d47736;0;0
$1;1496595998864442583;api.ownersNumberedGET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877963;1496595998844237376;1496595998864425021;fe18f5d47736;0;0
$1;1496595998913817152;api.ownersNumberedPUT;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877964;1496595998880321188;1496595998913791262;fe18f5d47736;0;0
$1;1496595998941552971;api.petsNumberedGET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877965;1496595998917952896;1496595998941531494;fe18f5d47736;0;0
$1;1496595998973272741;api.visitsGET;7A2CCA72337E13030816A8F7F6ADA9F1;4047469427610877966;1496595998945587396;1496595998973252308;fe18f5d47736;0;0
$1;1496595998986346447;HTTP_API-Gateway.gateway.GET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877967;1496595998979804988;1496595998986309829;fe18f5d47736;0;0
$1;1496595999030323278;api.vetsGET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877968;1496595998989701176;1496595999030311350;fe18f5d47736;0;0
$1;1496595999077518777;api.ownersGET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877969;1496595999033530718;1496595999077496145;fe18f5d47736;0;0
$1;1496595999103908386;api.ownersNumberedGET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877970;1496595999081411409;1496595999103886395;fe18f5d47736;0;0
$1;1496595999147852680;api.ownersNumberedPUT;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877971;1496595999119817800;1496595999147831865;fe18f5d47736;0;0
$1;1496595999173087870;api.petsNumberedGET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877972;1496595999151838278;1496595999173067827;fe18f5d47736;0;0
$1;1496595999201242484;api.visitsGET;67D03B142F6B2A97C5A8AB5FE01D871B;4047469427610877973;1496595999177457970;1496595999201227975;fe18f5d47736;0;0
$1;1496595999214716455;HTTP_API-Gateway.gateway.GET;6694C36B48A79D457F4252557B4007A4;4047469427610877974;1496595999206519796;1496595999214663261;fe18f5d47736;0;0
$1;1496595999255614273;api.vetsGET;6694C36B48A79D457F4252557B4007A4;4047469427610877975;1496595999219338624;1496595999255592419;fe18f5d47736;0;0
$1;1496595999307141381;api.ownersGET;6694C36B48A79D457F4252557B4007A4;4047469427610877976;1496595999259400541;1496595999307120627;fe18f5d47736;0;0
$1;1496595999330328495;api.ownersNumberedGET;6694C36B48A79D457F4252557B4007A4;4047469427610877977;1496595999311484782;1496595999330312898;fe18f5d47736;0;0
$1;1496595999370174503;api.ownersNumberedPUT;6694C36B48A79D457F4252557B4007A4;4047469427610877978;1496595999344857457;1496595999370149695;fe18f5d47736;0;0
$1;1496595999396156486;api.petsNumberedGET;6694C36B48A79D457F4252557B4007A4;4047469427610877979;1496595999374490363;1496595999396138894;fe18f5d47736;0;0
$1;1496595999420931959;api.visitsGET;6694C36B48A79D457F4252557B4007A4;4047469427610877980;1496595999400280013;1496595999420907687;fe18f5d47736;0;0
$1;1496595999433656454;HTTP_API-Gateway.gateway.GET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877981;1496595999427545729;1496595999433618117;fe18f5d47736;0;0
$1;1496595999469396615;api.vetsGET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877982;1496595999437232514;1496595999469380886;fe18f5d47736;0;0
$1;1496595999521927076;api.ownersGET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877983;1496595999477520285;1496595999521905167;fe18f5d47736;0;0
$1;1496595999544340385;api.ownersNumberedGET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877984;1496595999525951234;1496595999544323219;fe18f5d47736;0;0
$1;1496595999585120422;api.ownersNumberedPUT;593939C2D77ACD178A39CEBBDA62142B;4047469427610877985;1496595999560309876;1496595999585091880;fe18f5d47736;0;0
$1;1496595999610456245;api.petsNumberedGET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877986;1496595999589381327;1496595999610429107;fe18f5d47736;0;0
$1;1496595999637765939;api.visitsGET;593939C2D77ACD178A39CEBBDA62142B;4047469427610877987;1496595999615120755;1496595999637733675;fe18f5d47736;0;0
$1;1496595999647688286;HTTP_API-Gateway.gateway.GET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877988;1496595999642271472;1496595999647637017;fe18f5d47736;0;0
$1;1496595999682115847;api.vetsGET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877989;1496595999651103741;1496595999682097363;fe18f5d47736;0;0
$1;1496595999726531771;api.ownersGET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877990;1496595999685511123;1496595999726508345;fe18f5d47736;0;0
$1;1496595999748016237;api.ownersNumberedGET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877991;1496595999730721161;1496595999747997207;fe18f5d47736;0;0
$1;1496595999786971394;api.ownersNumberedPUT;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877992;1496595999761930049;1496595999786947743;fe18f5d47736;0;0
$1;1496595999808853303;api.petsNumberedGET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877993;1496595999790952423;1496595999808832531;fe18f5d47736;0;0
$1;1496595999834035547;api.visitsGET;D65D1199A025C3AD7F3D4D7C026B212D;4047469427610877994;1496595999813016355;1496595999834012708;fe18f5d47736;0;0
