$0;1496994187694548875;1.10;KIEKER-SINGLETON;7ca41592d0e1;1;false;0;NANOSECONDS;1
$1;1496994187692931588;_API-Gateway.gateway.GET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691521;1496994185906760525;1496994187692255071;7ca41592d0e1;0;0
$1;1496994197686644431;_API-Gateway.gateway.errorGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691523;1496994197582421713;1496994197686580095;7ca41592d0e1;0;0
$1;1496994197688226595;api.vetsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691522;1496994191242975060;1496994197688160268;7ca41592d0e1;0;0
$1;1496994206416270644;api.ownersGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691524;1496994204814005615;1496994206416246829;7ca41592d0e1;0;0
$1;1496994207488246491;_API-Gateway.gateway.errorGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691526;1496994207484686631;1496994207488198280;7ca41592d0e1;0;0
$1;1496994207489095974;api.vetsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691525;1496994207474635091;1496994207489083716;7ca41592d0e1;0;0
$1;1496994215500415343;api.ownersGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691527;1496994215402560822;1496994215500392433;7ca41592d0e1;0;0
$1;1496994218209759211;api.ownersNumberedGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691528;1496994218077124337;1496994218209737161;7ca41592d0e1;0;0
$1;1496994220787138546;api.visitsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691529;1496994219127285616;1496994220787115050;7ca41592d0e1;0;0
$1;1496994222079905654;_API-Gateway.gateway.errorGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691531;1496994222077441069;1496994222079861120;7ca41592d0e1;0;0
$1;1496994222080682241;api.vetsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691530;1496994222065085826;1496994222080669488;7ca41592d0e1;0;0
$1;1496994242672471499;_API-Gateway.gateway.GET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691532;1496994242665515156;1496994242672420692;7ca41592d0e1;0;0
$1;1496994244906617396;api.vetsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691533;1496994243382162915;1496994244906594449;7ca41592d0e1;0;0
$1;1496994400279707527;_API-Gateway.gateway.GET;2A0744363218A2C88681EEC35A63E343;7612490745139691534;1496994400250038190;1496994400279660285;7ca41592d0e1;0;0
$1;1496994400338421561;api.vetsGET;2A0744363218A2C88681EEC35A63E343;7612490745139691535;1496994400305341553;1496994400338400111;7ca41592d0e1;0;0
$1;1496994400383508699;api.ownersGET;2A0744363218A2C88681EEC35A63E343;7612490745139691536;1496994400342079275;1496994400383488507;7ca41592d0e1;0;0
$1;1496994400401352027;api.ownersNumberedGET;2A0744363218A2C88681EEC35A63E343;7612490745139691537;1496994400386739624;1496994400401328789;7ca41592d0e1;0;0
$1;1496994400714029166;api.petsNumberedGET;2A0744363218A2C88681EEC35A63E343;7612490745139691538;1496994400609063269;1496994400714009980;7ca41592d0e1;0;0
$1;1496994400778810944;api.visitsGET;2A0744363218A2C88681EEC35A63E343;7612490745139691539;1496994400717457856;1496994400778791338;7ca41592d0e1;0;0
$1;1496994400790776190;_API-Gateway.gateway.GET;854010BA9D834063170DD4FA89970072;7612490745139691540;1496994400784910647;1496994400790737131;7ca41592d0e1;0;0
$1;1496994400896062820;api.vetsGET;854010BA9D834063170DD4FA89970072;7612490745139691541;1496994400793704520;1496994400896048433;7ca41592d0e1;0;0
$1;1496994401001441837;api.ownersGET;854010BA9D834063170DD4FA89970072;7612490745139691542;1496994400900652427;1496994401001422206;7ca41592d0e1;0;0
$1;1496994401087775406;api.ownersNumberedGET;854010BA9D834063170DD4FA89970072;7612490745139691543;1496994401005053955;1496994401087756917;7ca41592d0e1;0;0
$1;1496994401183911275;api.petsNumberedGET;854010BA9D834063170DD4FA89970072;7612490745139691544;1496994401103284411;1496994401183881926;7ca41592d0e1;0;0
$1;1496994401288842118;api.visitsGET;854010BA9D834063170DD4FA89970072;7612490745139691545;1496994401188231537;1496994401288815472;7ca41592d0e1;0;0
$1;1496994401301251285;_API-Gateway.gateway.GET;89D22DE21D8373579819AC79EFACE377;7612490745139691546;1496994401293703043;1496994401301198366;7ca41592d0e1;0;0
$1;1496994401331133244;api.vetsGET;89D22DE21D8373579819AC79EFACE377;7612490745139691547;1496994401305015516;1496994401331110950;7ca41592d0e1;0;0
$1;1496994401375172837;api.ownersGET;89D22DE21D8373579819AC79EFACE377;7612490745139691548;1496994401334586794;1496994401375154129;7ca41592d0e1;0;0
$1;1496994401394492508;api.ownersNumberedGET;89D22DE21D8373579819AC79EFACE377;7612490745139691549;1496994401378509711;1496994401394468479;7ca41592d0e1;0;0
$1;1496994401424810032;api.petsNumberedGET;89D22DE21D8373579819AC79EFACE377;7612490745139691550;1496994401409017658;1496994401424786335;7ca41592d0e1;0;0
$1;1496994401445255487;api.visitsGET;89D22DE21D8373579819AC79EFACE377;7612490745139691551;1496994401429403840;1496994401445232973;7ca41592d0e1;0;0
$1;1496994401454241470;_API-Gateway.gateway.GET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691552;1496994401449870192;1496994401454195890;7ca41592d0e1;0;0
$1;1496994401483839310;api.vetsGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691553;1496994401457399359;1496994401483820041;7ca41592d0e1;0;0
$1;1496994401521476407;api.ownersGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691554;1496994401487227322;1496994401521453239;7ca41592d0e1;0;0
$1;1496994401579988845;api.ownersNumberedGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691555;1496994401525722502;1496994401579966964;7ca41592d0e1;0;0
$1;1496994401609941668;api.petsNumberedGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691556;1496994401594833332;1496994401609918881;7ca41592d0e1;0;0
$1;1496994401629726082;api.visitsGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691557;1496994401613282952;1496994401629708930;7ca41592d0e1;0;0
$1;1496994401637464400;_API-Gateway.gateway.GET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691558;1496994401633213321;1496994401637425153;7ca41592d0e1;0;0
$1;1496994401664986474;api.vetsGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691559;1496994401640877800;1496994401664961552;7ca41592d0e1;0;0
$1;1496994401705768634;api.ownersGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691560;1496994401676364628;1496994401705748963;7ca41592d0e1;0;0
$1;1496994401721287388;api.ownersNumberedGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691561;1496994401709203584;1496994401721271352;7ca41592d0e1;0;0
$1;1496994401784813282;api.petsNumberedGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691562;1496994401736153719;1496994401784793692;7ca41592d0e1;0;0
$1;1496994401805134923;api.visitsGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691563;1496994401788788893;1496994401805115543;7ca41592d0e1;0;0
$1;1496994401813199390;_API-Gateway.gateway.GET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691564;1496994401808989400;1496994401813155700;7ca41592d0e1;0;0
$1;1496994401995699456;api.vetsGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691565;1496994401816634414;1496994401995674316;7ca41592d0e1;0;0
$1;1496994402096170280;api.ownersGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691566;1496994401999491349;1496994402096145917;7ca41592d0e1;0;0
$1;1496994402178678494;api.ownersNumberedGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691567;1496994402100289703;1496994402178656343;7ca41592d0e1;0;0
$1;1496994402275927098;api.petsNumberedGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691568;1496994402192268398;1496994402275894865;7ca41592d0e1;0;0
$1;1496994402386319867;api.visitsGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691569;1496994402281377438;1496994402386300037;7ca41592d0e1;0;0
$1;1496994402393948924;_API-Gateway.gateway.GET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691570;1496994402390213206;1496994402393909783;7ca41592d0e1;0;0
$1;1496994402426544396;api.vetsGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691571;1496994402397262200;1496994402426522662;7ca41592d0e1;0;0
$1;1496994402595315383;api.ownersGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691572;1496994402478725367;1496994402595289036;7ca41592d0e1;0;0
$1;1496994402611409741;api.ownersNumberedGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691573;1496994402599171891;1496994402611392103;7ca41592d0e1;0;0
$1;1496994402636092133;api.petsNumberedGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691574;1496994402623602970;1496994402636074021;7ca41592d0e1;0;0
$1;1496994402676440292;api.visitsGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691575;1496994402639583881;1496994402676423044;7ca41592d0e1;0;0
$1;1496994402683376487;_API-Gateway.gateway.GET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691576;1496994402680106413;1496994402683339383;7ca41592d0e1;0;0
$1;1496994402800120944;api.vetsGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691577;1496994402686801688;1496994402800096086;7ca41592d0e1;0;0
$1;1496994402827534599;api.ownersGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691578;1496994402803197823;1496994402827516474;7ca41592d0e1;0;0
$1;1496994402875343591;api.ownersNumberedGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691579;1496994402831539016;1496994402875323591;7ca41592d0e1;0;0
$1;1496994402901585330;api.petsNumberedGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691580;1496994402888170821;1496994402901566341;7ca41592d0e1;0;0
$1;1496994402920689767;api.visitsGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691581;1496994402904828601;1496994402920671578;7ca41592d0e1;0;0
$1;1496994402975773322;_API-Gateway.gateway.GET;395437E0F8A47289BE2CFA122866CB32;7612490745139691582;1496994402928109051;1496994402975729992;7ca41592d0e1;0;0
$1;1496994403010278275;api.vetsGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691583;1496994402980263759;1496994403010244046;7ca41592d0e1;0;0
$1;1496994403038575111;api.ownersGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691584;1496994403013650381;1496994403038552261;7ca41592d0e1;0;0
$1;1496994403092797560;api.ownersNumberedGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691585;1496994403078793424;1496994403092779735;7ca41592d0e1;0;0
$1;1496994403119278865;api.petsNumberedGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691586;1496994403105413923;1496994403119256691;7ca41592d0e1;0;0
$1;1496994403283965566;api.visitsGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691587;1496994403122807661;1496994403283937975;7ca41592d0e1;0;0
$1;1496994403291783476;_API-Gateway.gateway.GET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691588;1496994403287987609;1496994403291736889;7ca41592d0e1;0;0
$1;1496994403391474958;api.vetsGET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691589;1496994403295720168;1496994403391446052;7ca41592d0e1;0;0
$1;1496994403489676593;api.ownersGET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691590;1496994403395111636;1496994403489651893;7ca41592d0e1;0;0
$1;1496994403529044304;api.visitsGET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691593;1496994403514667893;1496994403529019293;7ca41592d0e1;0;0
$1;1496994403535562873;_API-Gateway.gateway.GET;D6C13947819E18B4327F2D5728185DC0;7612490745139691594;1496994403532651527;1496994403535528592;7ca41592d0e1;0;0
$1;1496994403564768532;api.vetsGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691595;1496994403538610021;1496994403564753774;7ca41592d0e1;0;0
$1;1496994403601280100;api.ownersGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691596;1496994403567686338;1496994403601254376;7ca41592d0e1;0;0
$1;1496994403687030378;api.ownersNumberedGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691597;1496994403605139547;1496994403687004978;7ca41592d0e1;0;0
$1;1496994403777972132;api.visitsGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691599;1496994403702708696;1496994403777948554;7ca41592d0e1;0;0
$1;1496994403785260860;_API-Gateway.gateway.GET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691600;1496994403781895099;1496994403785216449;7ca41592d0e1;0;0
$1;1496994403891989126;api.vetsGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691601;1496994403788660354;1496994403891963122;7ca41592d0e1;0;0
$1;1496994403981276180;api.ownersGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691602;1496994403895560896;1496994403981251861;7ca41592d0e1;0;0
$1;1496994403996328182;api.ownersNumberedGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691603;1496994403984397483;1496994403996302816;7ca41592d0e1;0;0
$1;1496994404079759165;api.visitsGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691605;1496994404012483000;1496994404079739741;7ca41592d0e1;0;0
$1;1496994404085874796;_API-Gateway.gateway.GET;E793060E1B15210A27110B284CF0F21B;7612490745139691606;1496994404082878491;1496994404085834375;7ca41592d0e1;0;0
$1;1496994404187988009;api.vetsGET;E793060E1B15210A27110B284CF0F21B;7612490745139691607;1496994404089742306;1496994404187922618;7ca41592d0e1;0;0
$1;1496994404285713713;api.ownersGET;E793060E1B15210A27110B284CF0F21B;7612490745139691608;1496994404191021772;1496994404285686341;7ca41592d0e1;0;0
$1;1496994404383966976;api.ownersNumberedGET;E793060E1B15210A27110B284CF0F21B;7612490745139691609;1496994404290682537;1496994404383941123;7ca41592d0e1;0;0
$1;1496994404478721817;api.visitsGET;E793060E1B15210A27110B284CF0F21B;7612490745139691611;1496994404401386435;1496994404478699910;7ca41592d0e1;0;0
$1;1496994404486603856;_API-Gateway.gateway.GET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691612;1496994404482553933;1496994404486553679;7ca41592d0e1;0;0
$1;1496994404511541281;api.vetsGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691613;1496994404490158344;1496994404511516978;7ca41592d0e1;0;0
$1;1496994404594070618;api.ownersGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691614;1496994404515242007;1496994404594050934;7ca41592d0e1;0;0
$1;1496994404681756413;api.ownersNumberedGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691615;1496994404597170554;1496994404681730549;7ca41592d0e1;0;0
$1;1496994404708313862;api.petsNumberedGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691616;1496994404695280538;1496994404708290861;7ca41592d0e1;0;0
$1;1496994404778056357;api.visitsGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691617;1496994404712229679;1496994404778031573;7ca41592d0e1;0;0
$1;1496994404784235983;_API-Gateway.gateway.GET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691618;1496994404781384268;1496994404784199881;7ca41592d0e1;0;0
$1;1496994404893683116;api.vetsGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691619;1496994404786744526;1496994404893667978;7ca41592d0e1;0;0
$1;1496994404916710802;api.ownersGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691620;1496994404896223327;1496994404916671947;7ca41592d0e1;0;0
$1;1496994404934239690;api.ownersNumberedGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691621;1496994404920299951;1496994404934212393;7ca41592d0e1;0;0
$1;1496994404982697297;api.petsNumberedGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691622;1496994404950231809;1496994404982668953;7ca41592d0e1;0;0
$1;1496994405085375873;api.visitsGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691623;1496994404986095713;1496994405085357783;7ca41592d0e1;0;0
$1;1496994405092028575;_API-Gateway.gateway.GET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691624;1496994405089415953;1496994405091984322;7ca41592d0e1;0;0
$1;1496994405114170786;api.vetsGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691625;1496994405094866822;1496994405114147986;7ca41592d0e1;0;0
$1;1496994405139014204;api.ownersGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691626;1496994405117299581;1496994405138994735;7ca41592d0e1;0;0
$1;1496994405153781217;api.ownersNumberedGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691627;1496994405141959317;1496994405153762396;7ca41592d0e1;0;0
$1;1496994405176182084;api.petsNumberedGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691628;1496994405166319746;1496994405176166278;7ca41592d0e1;0;0
$1;1496994405191211840;api.visitsGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691629;1496994405178993752;1496994405191195120;7ca41592d0e1;0;0
$1;1496994405196144073;_API-Gateway.gateway.GET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691630;1496994405193991977;1496994405196112684;7ca41592d0e1;0;0
$1;1496994405218198941;api.vetsGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691631;1496994405199753432;1496994405218176282;7ca41592d0e1;0;0
$1;1496994405241402593;api.ownersGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691632;1496994405221407266;1496994405241384897;7ca41592d0e1;0;0
$1;1496994405254442512;api.ownersNumberedGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691633;1496994405244098962;1496994405254427446;7ca41592d0e1;0;0
$1;1496994405275708508;api.petsNumberedGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691634;1496994405266153328;1496994405275693706;7ca41592d0e1;0;0
$1;1496994405290045012;api.visitsGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691635;1496994405278201703;1496994405290029633;7ca41592d0e1;0;0
$1;1496994405295589563;_API-Gateway.gateway.GET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691636;1496994405293236209;1496994405295556805;7ca41592d0e1;0;0
$1;1496994405318823354;api.vetsGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691637;1496994405298287265;1496994405318774010;7ca41592d0e1;0;0
$1;1496994405340062674;api.ownersGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691638;1496994405321377558;1496994405340047346;7ca41592d0e1;0;0
$1;1496994405351213700;api.ownersNumberedGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691639;1496994405342420003;1496994405351200074;7ca41592d0e1;0;0
$1;1496994405381148241;api.petsNumberedGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691640;1496994405362376662;1496994405381133760;7ca41592d0e1;0;0
$1;1496994405394638964;api.visitsGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691641;1496994405383614300;1496994405394578935;7ca41592d0e1;0;0
$1;1496994405399804962;_API-Gateway.gateway.GET;448A1D32EC0C02507713FEA24605D62D;7612490745139691642;1496994405397550062;1496994405399773568;7ca41592d0e1;0;0
$1;1496994405419601878;api.vetsGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691643;1496994405402340149;1496994405419586461;7ca41592d0e1;0;0
$1;1496994405442954446;api.ownersGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691644;1496994405422433265;1496994405442887214;7ca41592d0e1;0;0
$1;1496994405479639641;api.ownersNumberedGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691645;1496994405445946253;1496994405479592318;7ca41592d0e1;0;0
$1;1496994405502801067;api.petsNumberedGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691646;1496994405491414598;1496994405502783398;7ca41592d0e1;0;0
$1;1496994405518244214;api.visitsGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691647;1496994405505927883;1496994405518219165;7ca41592d0e1;0;0
$1;1496994405525103957;_API-Gateway.gateway.GET;B701544095BECE83FF718B467A0F8452;7612490745139691648;1496994405522759030;1496994405525064446;7ca41592d0e1;0;0
$1;1496994405544413185;api.vetsGET;B701544095BECE83FF718B467A0F8452;7612490745139691649;1496994405528043583;1496994405544384682;7ca41592d0e1;0;0
