$0;1497018451249214684;1.10;KIEKER-SINGLETON;2a60f716d6d6;1;false;0;NANOSECONDS;1
$1;1497018451247541242;api.vetsGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732481;1497018438302098244;1497018451246975836;2a60f716d6d6;0;0
$1;1497018456054852770;api.ownersGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732482;1497018454626238398;1497018456054831004;2a60f716d6d6;0;0
$1;1497018458338217875;api.ownersNumberedGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732483;1497018458260004111;1497018458338197191;2a60f716d6d6;0;0
$1;1497018461076346425;api.visitsGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732484;1497018459522920720;1497018461076323383;2a60f716d6d6;0;0
$1;1497018485451523345;_API-Gateway.gateway.GET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732485;1497018484657414631;1497018485451352135;2a60f716d6d6;0;0
$1;1497018485643256491;api.vetsGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732486;1497018485473917921;1497018485643232767;2a60f716d6d6;0;0
$1;1497018485789086325;api.ownersGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732487;1497018485654088658;1497018485789063930;2a60f716d6d6;0;0
$1;1497018485827618258;api.ownersNumberedGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732488;1497018485799608696;1497018485827598993;2a60f716d6d6;0;0
$1;1497018486254970110;api.petsNumberedGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732489;1497018486078336397;1497018486254948954;2a60f716d6d6;0;0
$1;1497018486327963204;api.visitsGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732490;1497018486266287733;1497018486327945242;2a60f716d6d6;0;0
$1;1497018486372973348;_API-Gateway.gateway.GET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732491;1497018486355465863;1497018486372933252;2a60f716d6d6;0;0
$1;1497018486525477152;api.vetsGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732492;1497018486401704658;1497018486525456723;2a60f716d6d6;0;0
$1;1497018486798544062;api.ownersGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732493;1497018486532898605;1497018486798519538;2a60f716d6d6;0;0
$1;1497018486859026449;api.ownersNumberedGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732494;1497018486807458787;1497018486859002506;2a60f716d6d6;0;0
$1;1497018486904152751;api.petsNumberedGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732495;1497018486877097825;1497018486904129212;2a60f716d6d6;0;0
$1;1497018487012828260;api.visitsGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732496;1497018486908545003;1497018487012805084;2a60f716d6d6;0;0
$1;1497018487027054695;_API-Gateway.gateway.GET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732497;1497018487021881660;1497018487027018546;2a60f716d6d6;0;0
$1;1497018487078716812;api.vetsGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732498;1497018487042514133;1497018487078698605;2a60f716d6d6;0;0
$1;1497018487237671358;api.ownersGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732499;1497018487082945524;1497018487237653035;2a60f716d6d6;0;0
$1;1497018487292986831;api.ownersNumberedGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732500;1497018487244599154;1497018487292968790;2a60f716d6d6;0;0
$1;1497018487353125345;api.petsNumberedGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732501;1497018487312230549;1497018487353108377;2a60f716d6d6;0;0
$1;1497018487427910319;api.visitsGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732502;1497018487380071688;1497018487427864207;2a60f716d6d6;0;0
$1;1497018487458506487;_API-Gateway.gateway.GET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732503;1497018487441611693;1497018487458462136;2a60f716d6d6;0;0
$1;1497018487570800271;api.vetsGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732504;1497018487464261318;1497018487570775992;2a60f716d6d6;0;0
$1;1497018487785902745;api.ownersGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732505;1497018487582282598;1497018487785882974;2a60f716d6d6;0;0
$1;1497018487818029447;api.ownersNumberedGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732506;1497018487791642766;1497018487818008963;2a60f716d6d6;0;0
$1;1497018487869166232;api.petsNumberedGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732507;1497018487840901535;1497018487869147256;2a60f716d6d6;0;0
$1;1497018488005720510;api.visitsGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732508;1497018487884663315;1497018488005700647;2a60f716d6d6;0;0
$1;1497018488061001930;_API-Gateway.gateway.GET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732509;1497018488018851486;1497018488060953486;2a60f716d6d6;0;0
$1;1497018488107229223;api.vetsGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732510;1497018488067470495;1497018488107212586;2a60f716d6d6;0;0
$1;1497018488223651444;api.ownersGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732511;1497018488113287872;1497018488223631114;2a60f716d6d6;0;0
$1;1497018488285139649;api.ownersNumberedGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732512;1497018488228934518;1497018488285123225;2a60f716d6d6;0;0
$1;1497018488336587807;api.petsNumberedGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732513;1497018488301483128;1497018488336567060;2a60f716d6d6;0;0
$1;1497018488375654510;api.visitsGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732514;1497018488347277507;1497018488375635560;2a60f716d6d6;0;0
$1;1497018488401534660;_API-Gateway.gateway.GET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732515;1497018488383988722;1497018488401491703;2a60f716d6d6;0;0
$1;1497018488535245817;api.vetsGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732516;1497018488409697611;1497018488535224929;2a60f716d6d6;0;0
$1;1497018488647573807;api.ownersGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732517;1497018488547318885;1497018488647553939;2a60f716d6d6;0;0
$1;1497018488685012266;api.ownersNumberedGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732518;1497018488652362741;1497018488684994645;2a60f716d6d6;0;0
$1;1497018488759462792;api.petsNumberedGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732519;1497018488700897329;1497018488759442020;2a60f716d6d6;0;0
$1;1497018488799288706;api.visitsGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732520;1497018488764992019;1497018488799273801;2a60f716d6d6;0;0
$1;1497018488815137668;_API-Gateway.gateway.GET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732521;1497018488807189255;1497018488815101132;2a60f716d6d6;0;0
$1;1497018488953840468;api.vetsGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732522;1497018488823078174;1497018488953818134;2a60f716d6d6;0;0
$1;1497018489020463657;api.ownersGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732523;1497018488958432503;1497018489020441886;2a60f716d6d6;0;0
$1;1497018489049764821;api.ownersNumberedGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732524;1497018489026188568;1497018489049750137;2a60f716d6d6;0;0
$1;1497018489099859138;api.petsNumberedGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732525;1497018489063584379;1497018489099843815;2a60f716d6d6;0;0
$1;1497018489132792050;api.visitsGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732526;1497018489104063097;1497018489132775494;2a60f716d6d6;0;0
