$0;1498244332876549940;1.10;KIEKER-SINGLETON;77e0b40609c3;1;false;0;NANOSECONDS;1
$1;1498244332873247812;_API-Gateway.gateway.GET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334721;1498244330312831192;1498244332872449639;77e0b40609c3;0;0
$1;1498244345867645327;api.vetsGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334722;1498244338794618355;1498244345867559054;77e0b40609c3;0;0
$1;1498244350544493391;api.ownersGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334723;1498244347490007089;1498244350544469361;77e0b40609c3;0;0
$1;1498244352650834065;api.ownersNumberedGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334724;1498244351843263694;1498244352650811084;77e0b40609c3;0;0
$1;1498244355747908261;api.visitsGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334725;1498244353874340586;1498244355747885092;77e0b40609c3;0;0
$1;1498244375917588767;_API-Gateway.gateway.GET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334726;1498244375907485836;1498244375917524877;77e0b40609c3;0;0
$1;1498244376600628160;api.vetsGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334727;1498244375935116810;1498244376600606163;77e0b40609c3;0;0
$1;1498244377592041597;api.ownersGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334728;1498244376604911296;1498244377592018409;77e0b40609c3;0;0
$1;1498244378151270888;api.ownersNumberedGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334729;1498244377595909461;1498244378151249919;77e0b40609c3;0;0
$1;1498244378933546716;api.petsNumberedGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334730;1498244378352166742;1498244378933525736;77e0b40609c3;0;0
$1;1498244379430731985;api.visitsGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334731;1498244378940772791;1498244379430710480;77e0b40609c3;0;0
$1;1498244379455847482;_API-Gateway.gateway.GET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334732;1498244379436012225;1498244379455804606;77e0b40609c3;0;0
$1;1498244380124793949;api.vetsGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334733;1498244379463035364;1498244380124770763;77e0b40609c3;0;0
$1;1498244381327921811;api.ownersGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334734;1498244380136863351;1498244381327898653;77e0b40609c3;0;0
$1;1498244381864401369;api.ownersNumberedGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334735;1498244381336247591;1498244381864380227;77e0b40609c3;0;0
$1;1498244382312436715;api.petsNumberedGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334736;1498244381879717302;1498244382312417649;77e0b40609c3;0;0
$1;1498244382933093162;api.visitsGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334737;1498244382334784063;1498244382933070021;77e0b40609c3;0;0
$1;1498244382949978065;_API-Gateway.gateway.GET;D4ADF941F70A395A249ED55591B5540B;2954079880578334738;1498244382937542448;1498244382949925650;77e0b40609c3;0;0
$1;1498244383612340055;api.vetsGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334739;1498244382956207929;1498244383612317726;77e0b40609c3;0;0
$1;1498244384540743245;api.ownersGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334740;1498244383619237890;1498244384540721381;77e0b40609c3;0;0
$1;1498244385232676464;api.ownersNumberedGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334741;1498244384549316232;1498244385232653509;77e0b40609c3;0;0
$1;1498244385700468353;api.petsNumberedGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334742;1498244385248258874;1498244385700442543;77e0b40609c3;0;0
$1;1498244386206408951;api.visitsGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334743;1498244385735662002;1498244386206385970;77e0b40609c3;0;0
$1;1498244386273369426;_API-Gateway.gateway.GET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334744;1498244386233848049;1498244386273322014;77e0b40609c3;0;0
$1;1498244386931283314;api.vetsGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334745;1498244386279638440;1498244386931259152;77e0b40609c3;0;0
$1;1498244388041032473;api.ownersGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334746;1498244386935903979;1498244388041007338;77e0b40609c3;0;0
$1;1498244388557472019;api.ownersNumberedGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334747;1498244388046083305;1498244388557450357;77e0b40609c3;0;0
$1;1498244389031371593;api.petsNumberedGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334748;1498244388572266046;1498244389031350262;77e0b40609c3;0;0
$1;1498244389484224813;api.visitsGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334749;1498244389037687756;1498244389484206367;77e0b40609c3;0;0
$1;1498244389504318805;_API-Gateway.gateway.GET;8B32410AA26ABB98D92BF3620602D049;2954079880578334750;1498244389488543903;1498244389504263024;77e0b40609c3;0;0
$1;1498244390153318831;api.vetsGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334751;1498244389522719160;1498244390153298198;77e0b40609c3;0;0
$1;1498244391168981806;api.ownersGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334752;1498244390160084226;1498244391168958597;77e0b40609c3;0;0
$1;1498244391747036283;api.ownersNumberedGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334753;1498244391173543723;1498244391747013497;77e0b40609c3;0;0
$1;1498244392332255721;api.petsNumberedGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334754;1498244391833504829;1498244392332236786;77e0b40609c3;0;0
$1;1498244392790811658;api.visitsGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334755;1498244392337511519;1498244392790788660;77e0b40609c3;0;0
$1;1498244392815387996;_API-Gateway.gateway.GET;45F5340D4042474ED53E2D9F366C322A;2954079880578334756;1498244392801397933;1498244392815344435;77e0b40609c3;0;0
$1;1498244393381383337;api.vetsGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334757;1498244392819649955;1498244393381361346;77e0b40609c3;0;0
$1;1498244394370309244;api.ownersGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334758;1498244393385077689;1498244394370286570;77e0b40609c3;0;0
$1;1498244394941170885;api.ownersNumberedGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334759;1498244394376389038;1498244394941146713;77e0b40609c3;0;0
$1;1498244395531944536;api.petsNumberedGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334760;1498244394956154946;1498244395531922398;77e0b40609c3;0;0
$1;1498244395989681502;api.visitsGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334761;1498244395535778070;1498244395989659883;77e0b40609c3;0;0
$1;1498244396063441224;_API-Gateway.gateway.GET;8A812F785F2F6D662065A982DFA59086;2954079880578334762;1498244396052554646;1498244396063389174;77e0b40609c3;0;0
$1;1498244396684920294;api.vetsGET;8A812F785F2F6D662065A982DFA59086;2954079880578334763;1498244396066999087;1498244396684895728;77e0b40609c3;0;0
$1;1498244397633848907;api.ownersGET;8A812F785F2F6D662065A982DFA59086;2954079880578334764;1498244396692811228;1498244397633826234;77e0b40609c3;0;0
$1;1498244398232072624;api.ownersNumberedGET;8A812F785F2F6D662065A982DFA59086;2954079880578334765;1498244397648017954;1498244398232046916;77e0b40609c3;0;0
$1;1498244398730860727;api.petsNumberedGET;8A812F785F2F6D662065A982DFA59086;2954079880578334766;1498244398252660081;1498244398730834059;77e0b40609c3;0;0
$1;1498244399106941766;api.visitsGET;8A812F785F2F6D662065A982DFA59086;2954079880578334767;1498244398740149137;1498244399106919100;77e0b40609c3;0;0
$1;1498244399191115169;_API-Gateway.gateway.GET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334768;1498244399170597299;1498244399191058997;77e0b40609c3;0;0
$1;1498244399860180104;api.vetsGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334769;1498244399201583413;1498244399860156368;77e0b40609c3;0;0
$1;1498244400834710765;api.ownersGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334770;1498244399863762147;1498244400834685956;77e0b40609c3;0;0
$1;1498244401393489351;api.ownersNumberedGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334771;1498244400844491288;1498244401393464293;77e0b40609c3;0;0
$1;1498244401935374657;api.petsNumberedGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334772;1498244401407996202;1498244401935351455;77e0b40609c3;0;0
$1;1498244402312549690;api.visitsGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334773;1498244401939046181;1498244402312525349;77e0b40609c3;0;0
$1;1498244402386104605;_API-Gateway.gateway.GET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334774;1498244402318991425;1498244402386047377;77e0b40609c3;0;0
$1;1498244403031191568;api.vetsGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334775;1498244402390848532;1498244403031167629;77e0b40609c3;0;0
$1;1498244404992954950;api.ownersGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334776;1498244403035879636;1498244404992930449;77e0b40609c3;0;0
$1;1498244405655226958;api.ownersNumberedGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334777;1498244405033772398;1498244405655206102;77e0b40609c3;0;0
$1;1498244406215360780;api.petsNumberedGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334778;1498244405732589280;1498244406215338082;77e0b40609c3;0;0
$1;1498244406632431615;api.visitsGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334779;1498244406219103379;1498244406632410262;77e0b40609c3;0;0
$1;1498244406649204802;_API-Gateway.gateway.GET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334780;1498244406643788655;1498244406649165350;77e0b40609c3;0;0
$1;1498244407273988523;api.vetsGET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334781;1498244406653052440;1498244407273964994;77e0b40609c3;0;0
$1;1498244408254742640;api.ownersGET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334782;1498244407278116605;1498244408254719072;77e0b40609c3;0;0
$1;1498244408701465763;api.visitsGET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334785;1498244408288113916;1498244408701440411;77e0b40609c3;0;0
