$0;1494868674883877119;1.10;KIEKER-SINGLETON;ff899c08b2f2;1;false;0;NANOSECONDS;1
$1;1494868674883031924;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();F2A53D661853B0B058D911504C37B579;6922595577221873671;1494868674695697491;1494868674882740415;ff899c08b2f2;4;4
$1;1494868674888754479;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll() throws org.springframework.dao.DataAccessException;F2A53D661853B0B058D911504C37B579;6922595577221873671;1494868674663088311;1494868674888748610;ff899c08b2f2;3;3
$1;1494868674890211804;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();F2A53D661853B0B058D911504C37B579;6922595577221873671;1494868674657933901;1494868674890192834;ff899c08b2f2;2;2
$1;1494868675063460028;HTTP_CustomerService.GET;F2A53D661853B0B058D911504C37B579;6922595577221873671;1494868674629235091;1494868675063360467;ff899c08b2f2;1;1
$1;1494868728223242733;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();B042846482AA56D8FE73123438C4D65B;6922595577221873680;1494868728159361629;1494868728223236047;ff899c08b2f2;4;4
$1;1494868728236604020;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll() throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873680;1494868728153382808;1494868728236595528;ff899c08b2f2;3;3
$1;1494868728236828558;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();B042846482AA56D8FE73123438C4D65B;6922595577221873680;1494868728153372243;1494868728236823757;ff899c08b2f2;2;2
$1;1494868728246808720;HTTP_CustomerService.GET;B042846482AA56D8FE73123438C4D65B;6922595577221873680;1494868728152792136;1494868728246785643;ff899c08b2f2;1;1
$1;1494868728296799576;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B042846482AA56D8FE73123438C4D65B;6922595577221873681;1494868728296699828;1494868728296793791;ff899c08b2f2;2;2
$1;1494868728322150783;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);B042846482AA56D8FE73123438C4D65B;6922595577221873681;1494868728308035637;1494868728322142888;ff899c08b2f2;5;4
$1;1494868728325127736;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873681;1494868728305468527;1494868728325119454;ff899c08b2f2;4;3
$1;1494868728325377197;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findOwner(int);B042846482AA56D8FE73123438C4D65B;6922595577221873681;1494868728305073474;1494868728325370877;ff899c08b2f2;3;2
$1;1494868728345151542;HTTP_CustomerService.GET;B042846482AA56D8FE73123438C4D65B;6922595577221873681;1494868728285137536;1494868728345122428;ff899c08b2f2;1;1
$1;1494868728919398122;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868728919381019;1494868728919393345;ff899c08b2f2;2;2
$1;1494868728958342360;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868728958317255;1494868728958337883;ff899c08b2f2;3;2
$1;1494868729130569693;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868729122809799;1494868729130560427;ff899c08b2f2;6;4
$1;1494868729134729853;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868729121634728;1494868729134721808;ff899c08b2f2;5;3
$1;1494868729260980996;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.save(java.lang.Object);B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868729158668088;1494868729260971566;ff899c08b2f2;8;4
$1;1494868729290838548;public void org.springframework.samples.petclinic.customers.application.OwnerService.saveOwner(org.springframework.samples.petclinic.customers.domain.model.owner.Owner) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868729135029291;1494868729290826860;ff899c08b2f2;7;3
$1;1494868729296481439;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.updateOwner(int,org.springframework.samples.petclinic.customers.domain.model.owner.Owner);B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868729121576961;1494868729296473828;ff899c08b2f2;4;2
$1;1494868729306047087;HTTP_CustomerService.PUT;B042846482AA56D8FE73123438C4D65B;6922595577221873682;1494868728914837602;1494868729306017284;ff899c08b2f2;1;1
$1;1494868729443458912;public abstract org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.domain.model.pet.PetRepository.findById(int);B042846482AA56D8FE73123438C4D65B;6922595577221873683;1494868729407170191;1494868729443450309;ff899c08b2f2;4;4
$1;1494868729451529687;public org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.application.PetService.findPetById(int) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873683;1494868729401588545;1494868729451521232;ff899c08b2f2;3;3
