$0;1494946394575248142;1.10;KIEKER-SINGLETON;f659df926a8f;1;false;0;NANOSECONDS;1
$1;1494946394574367883;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800193;1494946394186020757;1494946394574078407;f659df926a8f;4;4
$1;1494946394596135424;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800193;1494946394133665285;1494946394596129286;f659df926a8f;3;3
$1;1494946394601684170;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800193;1494946394111272589;1494946394601678057;f659df926a8f;2;2
$1;1494946394783694091;HTTP_CustomerService.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800193;1494946394042140865;1494946394783559924;f659df926a8f;1;1
$1;1494946402030089002;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800197;1494946401973003289;1494946402030081969;f659df926a8f;4;4
$1;1494946402038381013;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800197;1494946401967760060;1494946402038374038;f659df926a8f;3;3
$1;1494946402038522941;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800197;1494946401967351211;1494946402038519164;f659df926a8f;2;2
$1;1494946402055947585;HTTP_CustomerService.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800197;1494946401966459792;1494946402055904025;f659df926a8f;1;1
$1;1494946422507200589;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800203;1494946422453885867;1494946422507176723;f659df926a8f;4;4
$1;1494946422509569636;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800203;1494946422449417989;1494946422509562984;f659df926a8f;3;3
$1;1494946422509938326;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800203;1494946422449391172;1494946422509934455;f659df926a8f;2;2
$1;1494946422526907505;HTTP_CustomerService.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800203;1494946422448703894;1494946422526888829;f659df926a8f;1;1
$1;1494946430645394281;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800205;1494946430589405690;1494946430645380068;f659df926a8f;4;4
$1;1494946430651005914;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800205;1494946430585842229;1494946430650999805;f659df926a8f;3;3
$1;1494946430652336165;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800205;1494946430585831865;1494946430652329143;f659df926a8f;2;2
$1;1494946430658463041;HTTP_CustomerService.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800205;1494946430585470054;1494946430658446077;f659df926a8f;1;1
$1;1494946458551180597;public abstract org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.domain.model.pet.PetRepository.findById(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800207;1494946458530598922;1494946458551173654;f659df926a8f;4;4
$1;1494946458553457435;public org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.application.PetService.findPetById(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800207;1494946458510759965;1494946458553451361;f659df926a8f;3;3
$1;1494946458553695160;public org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource$PetDetails org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource.findPet(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800207;1494946458497187416;1494946458553692256;f659df926a8f;2;2
$1;1494946458565743202;HTTP_CustomerService.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800207;1494946458483454435;1494946458565713287;f659df926a8f;1;1
$1;1494946510293154416;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();B8ADD6482718D8B172059E177473696D;4164281542945800215;1494946510253242998;1494946510293147720;f659df926a8f;4;4
$1;1494946510295837968;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();B8ADD6482718D8B172059E177473696D;4164281542945800215;1494946510249040929;1494946510295831050;f659df926a8f;3;3
$1;1494946510296018477;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();B8ADD6482718D8B172059E177473696D;4164281542945800215;1494946510249025388;1494946510296008593;f659df926a8f;2;2
$1;1494946510305270376;HTTP_CustomerService.GET;B8ADD6482718D8B172059E177473696D;4164281542945800215;1494946510243425959;1494946510305244136;f659df926a8f;1;1
$1;1494946510343621477;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B8ADD6482718D8B172059E177473696D;4164281542945800216;1494946510343542506;1494946510343612641;f659df926a8f;2;2
$1;1494946510354210331;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);B8ADD6482718D8B172059E177473696D;4164281542945800216;1494946510347918693;1494946510354202743;f659df926a8f;5;4
$1;1494946510356434795;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int);B8ADD6482718D8B172059E177473696D;4164281542945800216;1494946510344359601;1494946510356428216;f659df926a8f;4;3
$1;1494946510356603582;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findOwner(int);B8ADD6482718D8B172059E177473696D;4164281542945800216;1494946510344256746;1494946510356599933;f659df926a8f;3;2
$1;1494946510371104892;HTTP_CustomerService.GET;B8ADD6482718D8B172059E177473696D;4164281542945800216;1494946510339848719;1494946510371075808;f659df926a8f;1;1
$1;1494946510772934397;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510772915197;1494946510772930168;f659df926a8f;2;2
$1;1494946510798794103;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510798778149;1494946510798785982;f659df926a8f;3;2
$1;1494946510957855926;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510953420217;1494946510957849720;f659df926a8f;6;4
$1;1494946510969684893;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510952018482;1494946510969676869;f659df926a8f;5;3
$1;1494946511081894652;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.save(java.lang.Object);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510981318740;1494946511081887708;f659df926a8f;8;4
$1;1494946511110264020;public void org.springframework.samples.petclinic.customers.application.OwnerService.saveOwner(org.springframework.samples.petclinic.customers.domain.model.owner.Owner);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510970064469;1494946511110257457;f659df926a8f;7;3
$1;1494946511110407718;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.updateOwner(int,org.springframework.samples.petclinic.customers.domain.model.owner.Owner);B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510951946344;1494946511110403563;f659df926a8f;4;2
$1;1494946511115558484;HTTP_CustomerService.PUT;B8ADD6482718D8B172059E177473696D;4164281542945800217;1494946510769931190;1494946511115538612;f659df926a8f;1;1
$1;1494946511183780860;public abstract org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.domain.model.pet.PetRepository.findById(int);B8ADD6482718D8B172059E177473696D;4164281542945800218;1494946511173921657;1494946511183773229;f659df926a8f;4;4
$1;1494946511190353407;public org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.application.PetService.findPetById(int);B8ADD6482718D8B172059E177473696D;4164281542945800218;1494946511171838914;1494946511190346429;f659df926a8f;3;3
$1;1494946511190542524;public org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource$PetDetails org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource.findPet(int);B8ADD6482718D8B172059E177473696D;4164281542945800218;1494946511171827214;1494946511190539169;f659df926a8f;2;2
$1;1494946511194608472;HTTP_CustomerService.GET;B8ADD6482718D8B172059E177473696D;4164281542945800218;1494946511171365293;1494946511194581199;f659df926a8f;1;1
$1;1494946511960767060;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();A71489C2168A5857F2DE35E17DE9607F;4164281542945800223;1494946511916753421;1494946511960759404;f659df926a8f;4;4
$1;1494946511966894938;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();A71489C2168A5857F2DE35E17DE9607F;4164281542945800223;1494946511914733177;1494946511966888642;f659df926a8f;3;3
$1;1494946511967034752;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();A71489C2168A5857F2DE35E17DE9607F;4164281542945800223;1494946511914723214;1494946511967031993;f659df926a8f;2;2
$1;1494946511970630523;HTTP_CustomerService.GET;A71489C2168A5857F2DE35E17DE9607F;4164281542945800223;1494946511914342454;1494946511970612734;f659df926a8f;1;1
$1;1494946512002543235;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);A71489C2168A5857F2DE35E17DE9607F;4164281542945800224;1494946512002489747;1494946512002496446;f659df926a8f;2;2
$1;1494946512013614254;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);A71489C2168A5857F2DE35E17DE9607F;4164281542945800224;1494946512005328981;1494946512013608048;f659df926a8f;5;4
$1;1494946512015427865;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800224;1494946512004091773;1494946512015422321;f659df926a8f;4;3
$1;1494946512015581240;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findOwner(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800224;1494946512003993507;1494946512015578407;f659df926a8f;3;2
$1;1494946512020799412;HTTP_CustomerService.GET;A71489C2168A5857F2DE35E17DE9607F;4164281542945800224;1494946512002184834;1494946512020774329;f659df926a8f;1;1
$1;1494946512056240831;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512056231180;1494946512056237579;f659df926a8f;2;2
$1;1494946512058518962;public void org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.setAllowedFields(org.springframework.web.bind.WebDataBinder);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512058466606;1494946512058474400;f659df926a8f;3;2
$1;1494946512071720016;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.findOne(java.io.Serializable);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512067120922;1494946512071711743;f659df926a8f;6;4
$1;1494946512073847193;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.application.OwnerService.findOwnerById(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512061931592;1494946512073841292;f659df926a8f;5;3
$1;1494946512075347289;public abstract java.lang.Object org.springframework.data.repository.CrudRepository.save(java.lang.Object);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512075090477;1494946512075343185;f659df926a8f;8;4
$1;1494946512081424670;public void org.springframework.samples.petclinic.customers.application.OwnerService.saveOwner(org.springframework.samples.petclinic.customers.domain.model.owner.Owner);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512074058513;1494946512081418435;f659df926a8f;7;3
$1;1494946512081554033;public org.springframework.samples.petclinic.customers.domain.model.owner.Owner org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.updateOwner(int,org.springframework.samples.petclinic.customers.domain.model.owner.Owner);A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512061910136;1494946512081550888;f659df926a8f;4;2
$1;1494946512085161122;HTTP_CustomerService.PUT;A71489C2168A5857F2DE35E17DE9607F;4164281542945800225;1494946512055841785;1494946512085133830;f659df926a8f;1;1
$1;1494946512168189072;public abstract org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.domain.model.pet.PetRepository.findById(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800226;1494946512155078715;1494946512168182487;f659df926a8f;4;4
$1;1494946512169447448;public org.springframework.samples.petclinic.customers.domain.model.pet.Pet org.springframework.samples.petclinic.customers.application.PetService.findPetById(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800226;1494946512154101981;1494946512169442768;f659df926a8f;3;3
$1;1494946512169644309;public org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource$PetDetails org.springframework.samples.petclinic.customers.boundary.web.pet.PetResource.findPet(int);A71489C2168A5857F2DE35E17DE9607F;4164281542945800226;1494946512154089755;1494946512169641877;f659df926a8f;2;2
$1;1494946512174829868;HTTP_CustomerService.GET;A71489C2168A5857F2DE35E17DE9607F;4164281542945800226;1494946512152154773;1494946512174814221;f659df926a8f;1;1
$1;1494946512610175452;public abstract java.util.List org.springframework.data.jpa.repository.JpaRepository.findAll();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800231;1494946512557372636;1494946512610168995;f659df926a8f;4;4
$1;1494946512612971301;public java.util.Collection org.springframework.samples.petclinic.customers.application.OwnerService.findAll();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800231;1494946512552634514;1494946512612965728;f659df926a8f;3;3
$1;1494946512613171053;public java.util.Collection org.springframework.samples.petclinic.customers.boundary.web.owner.OwnerResource.findAll();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800231;1494946512552619807;1494946512613168056;f659df926a8f;2;2
$1;1494946512617995470;HTTP_CustomerService.GET;7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800231;1494946512552290275;1494946512617980313;f659df926a8f;1;1
