$0;1497018456018998036;1.10;KIEKER-SINGLETON;8797b7c013ac;1;false;0;NANOSECONDS;1
$1;1497018456017351096;CustomerService.ownersGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732482;1497018455237992522;1497018456016637888;8797b7c013ac;1;1
$1;1497018458335226244;CustomerService.ownersIDGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732483;1497018458272698015;1497018458335159032;8797b7c013ac;1;1
$1;1497018485786896174;CustomerService.ownersGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732487;1497018485664165153;1497018485786823742;8797b7c013ac;1;1
$1;1497018485823966067;CustomerService.ownersIDGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732488;1497018485807544448;1497018485823904713;8797b7c013ac;1;1
$1;1497018486251076172;CustomerService.ownersIDpetsIDGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732489;1497018486182593881;1497018486251010876;8797b7c013ac;1;1
$1;1497018486743207093;CustomerService.ownersGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732493;1497018486586057071;1497018486743133075;8797b7c013ac;1;1
$1;1497018486840340379;CustomerService.ownersIDGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732494;1497018486816847140;1497018486840277377;8797b7c013ac;1;1
$1;1497018486899689125;CustomerService.ownersIDpetsIDGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732495;1497018486883332580;1497018486899623073;8797b7c013ac;1;1
$1;1497018487235751517;CustomerService.ownersGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732499;1497018487087571063;1497018487235673341;8797b7c013ac;1;1
$1;1497018487287869803;CustomerService.ownersIDGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732500;1497018487274185809;1497018487287809149;8797b7c013ac;1;1
$1;1497018487350478442;CustomerService.ownersIDpetsIDGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732501;1497018487323273582;1497018487350408333;8797b7c013ac;1;1
$1;1497018487782631835;CustomerService.ownersGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732505;1497018487688887213;1497018487782568828;8797b7c013ac;1;1
$1;1497018487815971294;CustomerService.ownersIDGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732506;1497018487799152614;1497018487815902932;8797b7c013ac;1;1
$1;1497018487867609251;CustomerService.ownersIDpetsIDGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732507;1497018487850548834;1497018487867542156;8797b7c013ac;1;1
$1;1497018488216421497;CustomerService.ownersGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732511;1497018488133062210;1497018488216353326;8797b7c013ac;1;1
$1;1497018488282571364;CustomerService.ownersIDGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732512;1497018488259218882;1497018488282506056;8797b7c013ac;1;1
$1;1497018488333503959;CustomerService.ownersIDpetsIDGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732513;1497018488316101219;1497018488332629225;8797b7c013ac;1;1
$1;1497018488645260226;CustomerService.ownersGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732517;1497018488594474211;1497018488645199498;8797b7c013ac;1;1
$1;1497018488683413435;CustomerService.ownersIDGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732518;1497018488661126889;1497018488683347414;8797b7c013ac;1;1
$1;1497018488757638544;CustomerService.ownersIDpetsIDGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732519;1497018488731608584;1497018488757570849;8797b7c013ac;1;1
$1;1497018489015634355;CustomerService.ownersGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732523;1497018488962715920;1497018489015566666;8797b7c013ac;1;1
$1;1497018489048215364;CustomerService.ownersIDGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732524;1497018489031112835;1497018489048160985;8797b7c013ac;1;1
$1;1497018489098184787;CustomerService.ownersIDpetsIDGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732525;1497018489067886800;1497018489098127296;8797b7c013ac;1;1
$1;1497018489256502391;CustomerService.ownersGET;5CAC47BCD4FCC0E4058111A7F4BD163D;7587157997235732529;1497018489218636629;1497018489256437936;8797b7c013ac;1;1
$1;1497018489281891989;CustomerService.ownersIDGET;5CAC47BCD4FCC0E4058111A7F4BD163D;7587157997235732530;1497018489273240311;1497018489281841235;8797b7c013ac;1;1
$1;1497018489335809253;CustomerService.ownersIDpetsIDGET;5CAC47BCD4FCC0E4058111A7F4BD163D;7587157997235732531;1497018489312462006;1497018489335744208;8797b7c013ac;1;1
$1;1497018489731893306;CustomerService.ownersGET;722A5B43A8321F85745A636C17E63061;7587157997235732535;1497018489644192713;1497018489731832667;8797b7c013ac;1;1
$1;1497018489771658058;CustomerService.ownersIDGET;722A5B43A8321F85745A636C17E63061;7587157997235732536;1497018489750590449;1497018489771599708;8797b7c013ac;1;1
$1;1497018489836380685;CustomerService.ownersIDpetsIDGET;722A5B43A8321F85745A636C17E63061;7587157997235732537;1497018489800941681;1497018489836323143;8797b7c013ac;1;1
$1;1497018490076549272;CustomerService.ownersGET;09B652DD67A4ED380DF06EF29A9A7F17;7587157997235732541;1497018490020128612;1497018490076474817;8797b7c013ac;1;1
$1;1497018490349345155;CustomerService.ownersGET;055BAA022801F6FB6F5B98E6F3AD2F40;7587157997235732547;1497018490293676776;1497018490349286557;8797b7c013ac;1;1
$1;1497018490389174479;CustomerService.ownersIDGET;055BAA022801F6FB6F5B98E6F3AD2F40;7587157997235732548;1497018490365958724;1497018490389117843;8797b7c013ac;1;1
$1;1497018490699305651;CustomerService.ownersGET;19EABF88F711CF185CB89D72B1DDF196;7587157997235732553;1497018490582008477;1497018490699244682;8797b7c013ac;1;1
$1;1497018490742302976;CustomerService.ownersIDGET;19EABF88F711CF185CB89D72B1DDF196;7587157997235732554;1497018490710037084;1497018490742244646;8797b7c013ac;1;1
$1;1497018491023738134;CustomerService.ownersGET;6B9E6BFC20ECAC0F273AED0BB9E8A2E8;7587157997235732559;1497018490925992232;1497018491023667021;8797b7c013ac;1;1
$1;1497018491058843898;CustomerService.ownersIDGET;6B9E6BFC20ECAC0F273AED0BB9E8A2E8;7587157997235732560;1497018491043707652;1497018491058787975;8797b7c013ac;1;1
$1;1497018491383347061;CustomerService.ownersGET;F8DC4B800A608CF74F9289EEEAA7CD0D;7587157997235732565;1497018491291942153;1497018491383289867;8797b7c013ac;1;1
$1;1497018491420161196;CustomerService.ownersIDGET;F8DC4B800A608CF74F9289EEEAA7CD0D;7587157997235732566;1497018491399673263;1497018491420106210;8797b7c013ac;1;1
