$0;1498244350532591350;1.10;KIEKER-SINGLETON;879bd494f152;1;false;0;NANOSECONDS;1
$1;1498244350531007197;CustomerService.ownersGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334723;1498244348094516598;1498244350530396787;879bd494f152;1;1
$1;1498244352650270453;CustomerService.ownersIDGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334724;1498244351981247289;1498244352650208495;879bd494f152;1;1
$1;1498244377591270538;CustomerService.ownersGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334728;1498244376614456828;1498244377591201953;879bd494f152;1;1
$1;1498244378150537798;CustomerService.ownersIDGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334729;1498244377613286524;1498244378150479953;879bd494f152;1;1
$1;1498244378924328684;CustomerService.ownersIDpetsIDGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334730;1498244378441486064;1498244378924266994;879bd494f152;1;1
$1;1498244381325821936;CustomerService.ownersGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334734;1498244380153633344;1498244381325753267;879bd494f152;1;1
$1;1498244381861198296;CustomerService.ownersIDGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334735;1498244381353595572;1498244381861139516;879bd494f152;1;1
$1;1498244382311232175;CustomerService.ownersIDpetsIDGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334736;1498244381891352404;1498244382311165964;879bd494f152;1;1
$1;1498244384540091565;CustomerService.ownersGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334740;1498244383648739409;1498244384540015511;879bd494f152;1;1
$1;1498244385152201357;CustomerService.ownersIDGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334741;1498244384588475443;1498244385152140386;879bd494f152;1;1
$1;1498244385700208028;CustomerService.ownersIDpetsIDGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334742;1498244385260424656;1498244385700140933;879bd494f152;1;1
$1;1498244387985602936;CustomerService.ownersGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334746;1498244387044443317;1498244387985536140;879bd494f152;1;1
$1;1498244388556802626;CustomerService.ownersIDGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334747;1498244388057525947;1498244388556746557;879bd494f152;1;1
$1;1498244388994921299;CustomerService.ownersIDpetsIDGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334748;1498244388580216821;1498244388994863713;879bd494f152;1;1
$1;1498244391164906025;CustomerService.ownersGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334752;1498244390239807822;1498244391164839746;879bd494f152;1;1
$1;1498244391746600593;CustomerService.ownersIDGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334753;1498244391212762368;1498244391746536523;879bd494f152;1;1
$1;1498244392265279802;CustomerService.ownersIDpetsIDGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334754;1498244391847304499;1498244392264386403;879bd494f152;1;1
$1;1498244394369961097;CustomerService.ownersGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334758;1498244393440703694;1498244394369904299;879bd494f152;1;1
$1;1498244394938692036;CustomerService.ownersIDGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334759;1498244394414130702;1498244394938629432;879bd494f152;1;1
$1;1498244395470689198;CustomerService.ownersIDpetsIDGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334760;1498244395004668370;1498244395470634607;879bd494f152;1;1
$1;1498244397633548138;CustomerService.ownersGET;8A812F785F2F6D662065A982DFA59086;2954079880578334764;1498244396698712729;1498244397633483080;879bd494f152;1;1
$1;1498244398212113982;CustomerService.ownersIDGET;8A812F785F2F6D662065A982DFA59086;2954079880578334765;1498244397660230316;1498244398212058979;879bd494f152;1;1
$1;1498244398724909358;CustomerService.ownersIDpetsIDGET;8A812F785F2F6D662065A982DFA59086;2954079880578334766;1498244398271935210;1498244398724855104;879bd494f152;1;1
