$0;1496595805797264036;1.10;KIEKER-SINGLETON;7542b1944c40;1;false;0;NANOSECONDS;1
$1;1496595805795381788;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942081;1496595805794791547;1496595805794932582;7542b1944c40;0;0
$1;1496595806565557545;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942082;1496595806565486464;1496595806565541883;7542b1944c40;0;0
$1;1496595806818064939;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942083;1496595806818033102;1496595806818051817;7542b1944c40;0;0
$1;1496595806989619037;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942084;1496595806989583764;1496595806989605821;7542b1944c40;0;0
$1;1496595807127248372;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942085;1496595807127217861;1496595807127236225;7542b1944c40;0;0
$1;1496595807644819745;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942086;1496595807644781691;1496595807644804161;7542b1944c40;0;0
$1;1496595807662513686;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942087;1496595807662489608;1496595807662506785;7542b1944c40;0;0
$1;1496595807827370966;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942088;1496595807827342694;1496595807827363475;7542b1944c40;0;0
$1;1496595808140490248;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942089;1496595808140455613;1496595808140477293;7542b1944c40;0;0
$1;1496595808177185192;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942090;1496595808177156774;1496595808177176027;7542b1944c40;0;0
$1;1496595808177575800;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942091;1496595808177554494;1496595808177569894;7542b1944c40;0;0
$1;1496595808177927357;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8213439820416942092;1496595808177905663;1496595808177922882;7542b1944c40;0;0
