$0;1497018393190015927;1.10;KIEKER-SINGLETON;00dd99777503;1;false;0;NANOSECONDS;1
$1;1497018393188500856;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511297;1497018393187937556;1497018393188070896;00dd99777503;0;0
$1;1497018393950339989;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511298;1497018393950305238;1497018393950327316;00dd99777503;0;0
$1;1497018394211585508;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511299;1497018394211554179;1497018394211572354;00dd99777503;0;0
$1;1497018394724543424;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511300;1497018394724510581;1497018394724531272;00dd99777503;0;0
$1;1497018395227590006;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511301;1497018395227559927;1497018395227578153;00dd99777503;0;0
$1;1497018395740664250;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511302;1497018395740636574;1497018395740654770;00dd99777503;0;0
$1;1497018396239580720;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511303;1497018396239547504;1497018396239568941;00dd99777503;0;0
$1;1497018396753462462;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511304;1497018396753432116;1497018396753451055;00dd99777503;0;0
$1;1497018397249032449;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511305;1497018397249006547;1497018397249023406;00dd99777503;0;0
$1;1497018397770062731;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511306;1497018397770028615;1497018397770049935;00dd99777503;0;0
$1;1497018398282018465;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511307;1497018398281990427;1497018398282008789;00dd99777503;0;0
$1;1497018398889262196;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511308;1497018398889229653;1497018398889250211;00dd99777503;0;0
$1;1497018398912085052;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511309;1497018398912052911;1497018398912073556;00dd99777503;0;0
$1;1497018399291422538;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511310;1497018399291395375;1497018399291412289;00dd99777503;0;0
$1;1497018399417849985;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511311;1497018399417812081;1497018399417835403;00dd99777503;0;0
$1;1497018399418539683;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511312;1497018399418517532;1497018399418533387;00dd99777503;0;0
$1;1497018399905738846;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511313;1497018399905705801;1497018399905728289;00dd99777503;0;0
$1;1497018400929146997;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511314;1497018400929111426;1497018400929133749;00dd99777503;0;0
$1;1497018400937345379;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511315;1497018400937320336;1497018400937336102;00dd99777503;0;0
$1;1497018400943621586;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511316;1497018400943595352;1497018400943612467;00dd99777503;0;0
$1;1497018400950990404;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511317;1497018400950968510;1497018400950984196;00dd99777503;0;0
$1;1497018400955788720;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511318;1497018400955765148;1497018400955780260;00dd99777503;0;0
$1;1497018401476833903;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;8163759487027511319;1497018401476795878;1497018401476818520;00dd99777503;0;0
