$0;1498244021548322743;1.10;KIEKER-SINGLETON;7eee76f84763;1;false;0;NANOSECONDS;1
$1;1498244021546744557;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810561;1498244021546206946;1498244021546318314;7eee76f84763;0;0
$1;1498244022291262875;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810562;1498244022291228457;1498244022291251182;7eee76f84763;0;0
$1;1498244022574132541;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810563;1498244022574102404;1498244022574121399;7eee76f84763;0;0
$1;1498244023086499547;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810564;1498244023086468699;1498244023086489402;7eee76f84763;0;0
$1;1498244023968482585;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810565;1498244023968454468;1498244023968472315;7eee76f84763;0;0
$1;1498244024000871730;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810566;1498244024000844007;1498244024000861098;7eee76f84763;0;0
$1;1498244024488145036;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810567;1498244024488113154;1498244024488134081;7eee76f84763;0;0
$1;1498244024499282525;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810568;1498244024499255475;1498244024499274318;7eee76f84763;0;0
$1;1498244024992738195;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810569;1498244024992696650;1498244024992725455;7eee76f84763;0;0
$1;1498244025023907927;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810570;1498244025023883707;1498244025023900373;7eee76f84763;0;0
$1;1498244025510286269;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810571;1498244025510257009;1498244025510276003;7eee76f84763;0;0
$1;1498244025512703172;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;5614722097935810572;1498244025511878790;1498244025512692512;7eee76f84763;0;0
