$0;1494946399607628626;1.10;KIEKER-SINGLETON;6eea74558600;1;false;0;NANOSECONDS;1
$1;1494946399606617171;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800195;1494946398717089667;1494946399606331142;6eea74558600;4;4
$1;1494946399626182479;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800195;1494946398647053244;1494946399626176099;6eea74558600;3;3
$1;1494946399640007469;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800195;1494946398616518506;1494946399626397416;6eea74558600;2;2
$1;1494946399860220048;HTTP_VetsService.GET;1AB314AF4FCC43B7D1C15785FF3A3FCB;4164281542945800195;1494946398562018192;1494946399860122988;6eea74558600;1;1
$1;1494946510195035965;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();B8ADD6482718D8B172059E177473696D;4164281542945800214;1494946510154029656;1494946510195027706;6eea74558600;4;4
$1;1494946510197070802;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();B8ADD6482718D8B172059E177473696D;4164281542945800214;1494946510151216605;1494946510197058272;6eea74558600;3;3
$1;1494946510197282555;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();B8ADD6482718D8B172059E177473696D;4164281542945800214;1494946510151206577;1494946510197277664;6eea74558600;2;2
$1;1494946510203566376;HTTP_VetsService.GET;B8ADD6482718D8B172059E177473696D;4164281542945800214;1494946510150714008;1494946510203540551;6eea74558600;1;1
$1;1494946511880960253;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A71489C2168A5857F2DE35E17DE9607F;4164281542945800222;1494946511851070906;1494946511880953902;6eea74558600;4;4
$1;1494946511882920472;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A71489C2168A5857F2DE35E17DE9607F;4164281542945800222;1494946511843670617;1494946511882910363;6eea74558600;3;3
$1;1494946511883036007;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A71489C2168A5857F2DE35E17DE9607F;4164281542945800222;1494946511843659250;1494946511883033093;6eea74558600;2;2
$1;1494946511893244629;HTTP_VetsService.GET;A71489C2168A5857F2DE35E17DE9607F;4164281542945800222;1494946511843242421;1494946511893226273;6eea74558600;1;1
$1;1494946512536497243;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800230;1494946512518678484;1494946512536490720;6eea74558600;4;4
$1;1494946512538254483;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800230;1494946512515027931;1494946512538248247;6eea74558600;3;3
$1;1494946512538590421;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800230;1494946512515018516;1494946512538586550;6eea74558600;2;2
$1;1494946512545353479;HTTP_VetsService.GET;7C56F0B2FD8EDA66D351531D8DA84624;4164281542945800230;1494946512514646766;1494946512545324230;6eea74558600;1;1
$1;1494946513060144025;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();6150E0EC59C7CDB40AAA52AEDB4AA465;4164281542945800238;1494946513039534680;1494946513060137162;6eea74558600;4;4
$1;1494946513063235729;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();6150E0EC59C7CDB40AAA52AEDB4AA465;4164281542945800238;1494946513031631807;1494946513063230234;6eea74558600;3;3
$1;1494946513063377672;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();6150E0EC59C7CDB40AAA52AEDB4AA465;4164281542945800238;1494946513031616874;1494946513063374857;6eea74558600;2;2
$1;1494946513071140332;HTTP_VetsService.GET;6150E0EC59C7CDB40AAA52AEDB4AA465;4164281542945800238;1494946513031133499;1494946513071119691;6eea74558600;1;1
$1;1494946513673952218;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();07AF1CD07E9FC4575AC5695CC3C55D68;4164281542945800246;1494946513644402855;1494946513673945388;6eea74558600;4;4
$1;1494946513675278140;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();07AF1CD07E9FC4575AC5695CC3C55D68;4164281542945800246;1494946513640748975;1494946513675272912;6eea74558600;3;3
$1;1494946513675437881;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();07AF1CD07E9FC4575AC5695CC3C55D68;4164281542945800246;1494946513640737920;1494946513675435231;6eea74558600;2;2
$1;1494946513681434177;HTTP_VetsService.GET;07AF1CD07E9FC4575AC5695CC3C55D68;4164281542945800246;1494946513640371961;1494946513681415959;6eea74558600;1;1
$1;1494946514453753419;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();9E20D55DF2E67A42377BF5295C484DD2;4164281542945800254;1494946514431529992;1494946514453746829;6eea74558600;4;4
$1;1494946514467723174;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();9E20D55DF2E67A42377BF5295C484DD2;4164281542945800254;1494946514422630004;1494946514467716471;6eea74558600;3;3
$1;1494946514467865928;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();9E20D55DF2E67A42377BF5295C484DD2;4164281542945800254;1494946514422619339;1494946514467862135;6eea74558600;2;2
$1;1494946514470108304;HTTP_VetsService.GET;9E20D55DF2E67A42377BF5295C484DD2;4164281542945800254;1494946514422282864;1494946514470083530;6eea74558600;1;1
$1;1494946515047961913;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515018185663;1494946515047955054;6eea74558600;4;4
$1;1494946515060608084;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515015439776;1494946515060601130;6eea74558600;3;3
$1;1494946515060860722;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515015419666;1494946515060857546;6eea74558600;2;2
$1;1494946515066965987;HTTP_VetsService.GET;031604BAF077E773F3E0EFFAA57345DD;4164281542945800262;1494946515014058514;1494946515066933698;6eea74558600;1;1
$1;1494946515553767017;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515528562770;1494946515553760499;6eea74558600;4;4
$1;1494946515558807759;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515520492030;1494946515558799525;6eea74558600;3;3
$1;1494946515559502394;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515520479746;1494946515559495289;6eea74558600;2;2
$1;1494946515568305806;HTTP_VetsService.GET;6CBD487BF9B76915A28C1D1176E3B426;4164281542945800270;1494946515519851948;1494946515568290265;6eea74558600;1;1
$1;1494946515987147187;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515974472005;1494946515987140470;6eea74558600;4;4
$1;1494946515988390721;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515966771309;1494946515988385364;6eea74558600;3;3
$1;1494946515990088351;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();610951CE3485EEE3ECC9EFED555C360F;4164281542945800278;1494946515966756044;1494946515990082665;6eea74558600;2;2
