$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076212981639510;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();F8AE080061E2501A1AE9A14920B612A9;6081829821787144195;1496076212585104178;1496076212981189269;a6b9179e06cd;4;4
$1;1496076212988054671;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();F8AE080061E2501A1AE9A14920B612A9;6081829821787144195;1496076212538219691;1496076212988038106;a6b9179e06cd;3;3
$1;1496076212988136332;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F8AE080061E2501A1AE9A14920B612A9;6081829821787144195;1496076212530567887;1496076212988128708;a6b9179e06cd;2;2
$1;1496076213039753888;HTTP_VetsService.GET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144195;1496076212504153275;1496076213039586243;a6b9179e06cd;1;1
$1;1496076215260183188;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144202;1496076215239161035;1496076215260163299;a6b9179e06cd;4;4
$1;1496076215263022975;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144202;1496076215235914103;1496076215263014705;a6b9179e06cd;3;3
$1;1496076215263122924;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144202;1496076215235881909;1496076215263115887;a6b9179e06cd;2;2
$1;1496076215270221009;HTTP_VetsService.GET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144202;1496076215235083726;1496076215270175779;a6b9179e06cd;1;1
$1;1496076215675874066;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();DBAA39471194E8011F3C81A605FABAA6;6081829821787144209;1496076215658309984;1496076215675856219;a6b9179e06cd;4;4
$1;1496076215678904716;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();DBAA39471194E8011F3C81A605FABAA6;6081829821787144209;1496076215654778306;1496076215678896111;a6b9179e06cd;3;3
$1;1496076215679027598;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();DBAA39471194E8011F3C81A605FABAA6;6081829821787144209;1496076215654748565;1496076215678955504;a6b9179e06cd;2;2
$1;1496076215684358442;HTTP_VetsService.GET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144209;1496076215653916207;1496076215684312881;a6b9179e06cd;1;1
$1;1496076216069623352;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144216;1496076216054416697;1496076216069607633;a6b9179e06cd;4;4
$1;1496076216072419762;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144216;1496076216051302982;1496076216072411376;a6b9179e06cd;3;3
$1;1496076216072487118;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144216;1496076216051274194;1496076216072481809;a6b9179e06cd;2;2
$1;1496076216075795472;HTTP_VetsService.GET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144216;1496076216050499020;1496076216075764216;a6b9179e06cd;1;1
