$0;1496994244900434415;1.10;KIEKER-SINGLETON;f29ad1434494;1;false;0;NANOSECONDS;1
$1;1496994244898816624;VetsService.vetsGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691533;1496994243921552706;1496994244898139182;f29ad1434494;1;1
$1;1496994400337848192;VetsService.vetsGET;2A0744363218A2C88681EEC35A63E343;7612490745139691535;1496994400318962355;1496994400337783606;f29ad1434494;1;1
$1;1496994400895717767;VetsService.vetsGET;854010BA9D834063170DD4FA89970072;7612490745139691541;1496994400802235956;1496994400895656488;f29ad1434494;1;1
$1;1496994401330073660;VetsService.vetsGET;89D22DE21D8373579819AC79EFACE377;7612490745139691547;1496994401314614340;1496994401330014520;f29ad1434494;1;1
$1;1496994401483394304;VetsService.vetsGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691553;1496994401465127980;1496994401483277837;f29ad1434494;1;1
$1;1496994401663861758;VetsService.vetsGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691559;1496994401647513824;1496994401663803923;f29ad1434494;1;1
$1;1496994401994641279;VetsService.vetsGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691565;1496994401977388840;1496994401994579599;f29ad1434494;1;1
$1;1496994402426121290;VetsService.vetsGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691571;1496994402404712169;1496994402426056916;f29ad1434494;1;1
$1;1496994402799690420;VetsService.vetsGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691577;1496994402693309886;1496994402799625542;f29ad1434494;1;1
$1;1496994403009724782;VetsService.vetsGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691583;1496994402986543085;1496994403009661627;f29ad1434494;1;1
$1;1496994403390572942;VetsService.vetsGET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691589;1496994403302525691;1496994403390510388;f29ad1434494;1;1
$1;1496994403564619574;VetsService.vetsGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691595;1496994403544832926;1496994403564549280;f29ad1434494;1;1
$1;1496994403890920869;VetsService.vetsGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691601;1496994403795545485;1496994403890861657;f29ad1434494;1;1
$1;1496994404187003191;VetsService.vetsGET;E793060E1B15210A27110B284CF0F21B;7612490745139691607;1496994404096078005;1496994404186942411;f29ad1434494;1;1
$1;1496994404511050331;VetsService.vetsGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691613;1496994404496554834;1496994404510985632;f29ad1434494;1;1
$1;1496994404893579459;VetsService.vetsGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691619;1496994404793114619;1496994404893509973;f29ad1434494;1;1
$1;1496994405113544350;VetsService.vetsGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691625;1496994405101209797;1496994405113479555;f29ad1434494;1;1
