$0;1497018451092733278;1.10;KIEKER-SINGLETON;037cd135a8c1;1;false;0;NANOSECONDS;1
$1;1497018451091114445;VetsService.vetsGET;DA7C3BB22C170500EB7C76E035B1F1FE;7587157997235732481;1497018450094736725;1497018451090484610;037cd135a8c1;1;1
$1;1497018485624946079;VetsService.vetsGET;51D20236C49EC7494A3DDB8E8191A27B;7587157997235732486;1497018485484531816;1497018485624872944;037cd135a8c1;1;1
$1;1497018486522832274;VetsService.vetsGET;EC363E830AE7FE9260D1A739F366ED26;7587157997235732492;1497018486441983411;1497018486522757657;037cd135a8c1;1;1
$1;1497018487077247693;VetsService.vetsGET;6B709D628E0D8832C3DEF6F290C3256E;7587157997235732498;1497018487048791000;1497018487077184531;037cd135a8c1;1;1
$1;1497018487556530666;VetsService.vetsGET;5F24AA9D901BCDFD4F73F02A995E11F6;7587157997235732504;1497018487485331078;1497018487556466430;037cd135a8c1;1;1
$1;1497018488105695316;VetsService.vetsGET;FCCBCD6B2728BBACB7174768E0F23686;7587157997235732510;1497018488076545684;1497018488105633122;037cd135a8c1;1;1
$1;1497018488525899993;VetsService.vetsGET;9CE834AD93D660C84A2FB42B7837410F;7587157997235732516;1497018488490511209;1497018488525835682;037cd135a8c1;1;1
$1;1497018488936293105;VetsService.vetsGET;A1B07299AED6BFCE94E459CDC8610069;7587157997235732522;1497018488878809401;1497018488936224341;037cd135a8c1;1;1
$1;1497018489202292024;VetsService.vetsGET;5CAC47BCD4FCC0E4058111A7F4BD163D;7587157997235732528;1497018489173799679;1497018489202231172;037cd135a8c1;1;1
$1;1497018489521087513;VetsService.vetsGET;722A5B43A8321F85745A636C17E63061;7587157997235732534;1497018489456320871;1497018489521014974;037cd135a8c1;1;1
$1;1497018490007250196;VetsService.vetsGET;09B652DD67A4ED380DF06EF29A9A7F17;7587157997235732540;1497018489963375013;1497018490007184616;037cd135a8c1;1;1
$1;1497018490282243421;VetsService.vetsGET;055BAA022801F6FB6F5B98E6F3AD2F40;7587157997235732546;1497018490245481499;1497018490282176584;037cd135a8c1;1;1
$1;1497018490570767446;VetsService.vetsGET;19EABF88F711CF185CB89D72B1DDF196;7587157997235732552;1497018490528416851;1497018490570705530;037cd135a8c1;1;1
$1;1497018490912911394;VetsService.vetsGET;6B9E6BFC20ECAC0F273AED0BB9E8A2E8;7587157997235732558;1497018490877359734;1497018490912833593;037cd135a8c1;1;1
$1;1497018491275335989;VetsService.vetsGET;F8DC4B800A608CF74F9289EEEAA7CD0D;7587157997235732564;1497018491221347192;1497018491275272145;037cd135a8c1;1;1
$1;1497018491625676996;VetsService.vetsGET;DDCBE36F6B44DC3D52FA94B30AA19C50;7587157997235732570;1497018491580215920;1497018491625608831;037cd135a8c1;1;1
$1;1497018492030456355;VetsService.vetsGET;DA033C4192E0AB762BAA29FB1755EF7F;7587157997235732576;1497018491976914637;1497018492030393685;037cd135a8c1;1;1
$1;1497018492383952851;VetsService.vetsGET;EA3DB4DCCAADEAEB2134A0FECE47093B;7587157997235732582;1497018492301163602;1497018492383893502;037cd135a8c1;1;1
$1;1497018492758346453;VetsService.vetsGET;A55E3D4BE4CE62A86C211CACCB255D96;7587157997235732588;1497018492722839211;1497018492758276771;037cd135a8c1;1;1
$1;1497018493206567978;VetsService.vetsGET;53DDB03C271AD765F66C37E542C5F70E;7587157997235732594;1497018493113860399;1497018493206507541;037cd135a8c1;1;1
$1;1497018493560512669;VetsService.vetsGET;6461AE960B0C915F3D68CCDB1E1401EE;7587157997235732600;1497018493516895630;1497018493560451477;037cd135a8c1;1;1
$1;1497018493725562990;VetsService.vetsGET;9DF3E8D77B69794AF41BF28EE7F3D877;7587157997235732606;1497018493702641162;1497018493725486364;037cd135a8c1;1;1
$1;1497018494154110350;VetsService.vetsGET;08C0F287C28604531831D46C567EADA4;7587157997235732612;1497018494112674465;1497018494154048889;037cd135a8c1;1;1
$1;1497018494579298698;VetsService.vetsGET;858BD3955FFEEBB482BA7D7D874C9978;7587157997235732618;1497018494485510321;1497018494579229051;037cd135a8c1;1;1
$1;1497018495001435813;VetsService.vetsGET;2C122FFE4C97A95B71DDA8B209A5CFC5;7587157997235732624;1497018494967610490;1497018495001365555;037cd135a8c1;1;1
$1;1497018495317082796;VetsService.vetsGET;0B3447709A3A1F1FD602DAEFFC1EDEE1;7587157997235732630;1497018495279488590;1497018495317021981;037cd135a8c1;1;1
$1;1497018495712069911;VetsService.vetsGET;DA63A574E9302FF31CC02CB494F91C95;7587157997235732636;1497018495675752931;1497018495712011376;037cd135a8c1;1;1
$1;1497018496010543804;VetsService.vetsGET;41830619483685F110CB979B73E74FD4;7587157997235732642;1497018495961610606;1497018496010484489;037cd135a8c1;1;1
$1;1497018496365601534;VetsService.vetsGET;B1F707FFECEE382A59972559B70998DA;7587157997235732648;1497018496312388842;1497018496365531131;037cd135a8c1;1;1
$1;1497018496682113837;VetsService.vetsGET;8FBFE4AB5E4800FC777AFA3F44EF1025;7587157997235732654;1497018496653472758;1497018496682051813;037cd135a8c1;1;1
$1;1497018496890660946;VetsService.vetsGET;C775C2DDC632C6CF6BB0AA51CCE5D66F;7587157997235732660;1497018496860599537;1497018496890601246;037cd135a8c1;1;1
$1;1497018497082050550;VetsService.vetsGET;CC9B79BF98635B2B5C52361994161A01;7587157997235732666;1497018497023703489;1497018497081924593;037cd135a8c1;1;1
$1;1497018497556711654;VetsService.vetsGET;279881B760674F6263B88EA5D79DF626;7587157997235732672;1497018497509927616;1497018497556651731;037cd135a8c1;1;1
$1;1497018497846691734;VetsService.vetsGET;44D282B58748A26C2827E278A04CA980;7587157997235732678;1497018497821935350;1497018497846632717;037cd135a8c1;1;1
$1;1497018498251745207;VetsService.vetsGET;937FF5907B26C86B2B150EF4399CBA14;7587157997235732684;1497018498209355346;1497018498251685501;037cd135a8c1;1;1
$1;1497018498718539188;VetsService.vetsGET;541EAE1E9C9F375C5E0B7FB868E66146;7587157997235732690;1497018498677451511;1497018498718477727;037cd135a8c1;1;1
$1;1497018498979862113;VetsService.vetsGET;8E613C44B75DBD408DE25B7F7596B7BF;7587157997235732696;1497018498919338535;1497018498979804247;037cd135a8c1;1;1
$1;1497018499149804193;VetsService.vetsGET;A06E709AD1ED7733EA93D26A26BB0DB7;7587157997235732702;1497018499093773534;1497018499149744244;037cd135a8c1;1;1
$1;1497018499311767194;VetsService.vetsGET;6C42579EBB5685E78E3695E634760DBD;7587157997235732708;1497018499296208326;1497018499311710151;037cd135a8c1;1;1
