$0;1498244345846078484;1.10;KIEKER-SINGLETON;4fdf49dfbfd5;1;false;0;NANOSECONDS;1
$1;1498244345844508599;VetsService.vetsGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334722;1498244343782752021;1498244345843847661;4fdf49dfbfd5;1;1
$1;1498244376599539182;VetsService.vetsGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334727;1498244375956501480;1498244376599468243;4fdf49dfbfd5;1;1
$1;1498244380123630544;VetsService.vetsGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334733;1498244379592505129;1498244380123558170;4fdf49dfbfd5;1;1
$1;1498244383610464252;VetsService.vetsGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334739;1498244383047290892;1498244383610400335;4fdf49dfbfd5;1;1
$1;1498244386846688004;VetsService.vetsGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334745;1498244386287968982;1498244386846620434;4fdf49dfbfd5;1;1
$1;1498244390152340673;VetsService.vetsGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334751;1498244389632469561;1498244390152275852;4fdf49dfbfd5;1;1
$1;1498244393380180371;VetsService.vetsGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334757;1498244392847196337;1498244393380119822;4fdf49dfbfd5;1;1
$1;1498244396671669082;VetsService.vetsGET;8A812F785F2F6D662065A982DFA59086;2954079880578334763;1498244396136223311;1498244396671603548;4fdf49dfbfd5;1;1
$1;1498244399859173338;VetsService.vetsGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334769;1498244399337741889;1498244399859113476;4fdf49dfbfd5;1;1
$1;1498244403023444200;VetsService.vetsGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334775;1498244402444765632;1498244403023376003;4fdf49dfbfd5;1;1
$1;1498244407272330123;VetsService.vetsGET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334781;1498244406660899844;1498244407272271014;4fdf49dfbfd5;1;1
$1;1498244409313801618;VetsService.vetsGET;0A0E0E3D162BA24F0EB67C596FCC2350;2954079880578334787;1498244408784246745;1498244409313731941;4fdf49dfbfd5;1;1
$1;1498244412007450561;VetsService.vetsGET;CA79A7A11049928A93F6F000E4708C6A;2954079880578334793;1498244411394460499;1498244412007388613;4fdf49dfbfd5;1;1
$1;1498244414789660870;VetsService.vetsGET;66B291973690F97A7FF85DF50753F99E;2954079880578334799;1498244414242820599;1498244414789584786;4fdf49dfbfd5;1;1
$1;1498244417419754719;VetsService.vetsGET;D8A2CBE7EB8C3559717698C8E46E260E;2954079880578334805;1498244416842324526;1498244417419686780;4fdf49dfbfd5;1;1
$1;1498244420696582191;VetsService.vetsGET;71DB19D10E3AF8CCCF8D8753DD145C87;2954079880578334811;1498244420136764757;1498244420696515438;4fdf49dfbfd5;1;1
$1;1498244423842856216;VetsService.vetsGET;F506D5CAE2C43B168CDF7B9BC734C6AA;2954079880578334817;1498244423290369672;1498244423842798336;4fdf49dfbfd5;1;1
