$0;1494868693079977016;1.10;KIEKER-SINGLETON;7a3908937685;1;false;0;NANOSECONDS;1
$1;1494868693079216768;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);F2A53D661853B0B058D911504C37B579;6922595577221873672;1494868692680698487;1494868693078941233;7a3908937685;4;4
$1;1494868693091461481;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);F2A53D661853B0B058D911504C37B579;6922595577221873672;1494868692652491851;1494868693091454971;7a3908937685;3;3
$1;1494868693091621013;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);F2A53D661853B0B058D911504C37B579;6922595577221873672;1494868692640383666;1494868693091607675;7a3908937685;2;2
$1;1494868693138460744;HTTP_VisitsService.GET;F2A53D661853B0B058D911504C37B579;6922595577221873672;1494868692600982277;1494868693138350458;7a3908937685;1;1
$1;1494868697228148440;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);F2A53D661853B0B058D911504C37B579;6922595577221873674;1494868697205843810;1494868697228140375;7a3908937685;4;4
$1;1494868697230062574;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);F2A53D661853B0B058D911504C37B579;6922595577221873674;1494868697199412654;1494868697230047915;7a3908937685;3;3
$1;1494868697230249971;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);F2A53D661853B0B058D911504C37B579;6922595577221873674;1494868697199396378;1494868697230245892;7a3908937685;2;2
$1;1494868697239421337;HTTP_VisitsService.GET;F2A53D661853B0B058D911504C37B579;6922595577221873674;1494868697195520125;1494868697239398149;7a3908937685;1;1
$1;1494868729571438876;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);B042846482AA56D8FE73123438C4D65B;6922595577221873684;1494868729540727061;1494868729571431963;7a3908937685;4;4
$1;1494868729578780559;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);B042846482AA56D8FE73123438C4D65B;6922595577221873684;1494868729531584512;1494868729578773476;7a3908937685;3;3
$1;1494868729578908328;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);B042846482AA56D8FE73123438C4D65B;6922595577221873684;1494868729531573996;1494868729578904472;7a3908937685;2;2
$1;1494868729599585526;HTTP_VisitsService.GET;B042846482AA56D8FE73123438C4D65B;6922595577221873684;1494868729531175416;1494868729599568057;7a3908937685;1;1
$1;1494868729911068343;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);B042846482AA56D8FE73123438C4D65B;6922595577221873685;1494868729882972918;1494868729911062093;7a3908937685;4;4
$1;1494868729989550661;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873685;1494868729917251003;1494868729989544483;7a3908937685;5;4
