$0;1494946482746894111;1.10;KIEKER-SINGLETON;795c49f8137a;1;false;0;NANOSECONDS;1
$1;1494946482746090317;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800210;1494946482108194808;1494946482745884171;795c49f8137a;4;4
$1;1494946482756868658;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800210;1494946482062734648;1494946482756861384;795c49f8137a;3;3
$1;1494946482757200937;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800210;1494946482032714364;1494946482757196481;795c49f8137a;2;2
$1;1494946482800259548;HTTP_VisitsService.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800210;1494946481942479016;1494946482800131406;795c49f8137a;1;1
$1;1494946484997627702;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800212;1494946484976801700;1494946484997620866;795c49f8137a;4;4
$1;1494946484999437262;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800212;1494946484975452394;1494946484999430691;795c49f8137a;3;3
$1;1494946484999555516;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800212;1494946484975442793;1494946484999535527;795c49f8137a;2;2
$1;1494946485010619253;HTTP_VisitsService.GET;1F63CD7C45F9C75B9C21B8EC58539B68;4164281542945800212;1494946484974756990;1494946485010601451;795c49f8137a;1;1
$1;1494946511287412269;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);B8ADD6482718D8B172059E177473696D;4164281542945800219;1494946511280226446;1494946511287397059;795c49f8137a;4;4
$1;1494946511317149342;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);B8ADD6482718D8B172059E177473696D;4164281542945800219;1494946511263330872;1494946511317143213;795c49f8137a;3;3
