$0;1496076215051281883;1.10;KIEKER-SINGLETON;e752ce4c0f18;1;false;0;NANOSECONDS;1
$1;1496076215049642565;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);F8AE080061E2501A1AE9A14920B612A9;6081829821787144200;1496076214732636267;1496076215049158206;e752ce4c0f18;4;4
$1;1496076215055730543;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);F8AE080061E2501A1AE9A14920B612A9;6081829821787144200;1496076214696879959;1496076215055721039;e752ce4c0f18;3;3
$1;1496076215055811083;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);F8AE080061E2501A1AE9A14920B612A9;6081829821787144200;1496076214688409814;1496076215055803216;e752ce4c0f18;2;2
$1;1496076215083833104;HTTP_VisitsService.GET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144200;1496076214652997196;1496076215083669678;e752ce4c0f18;1;1
$1;1496076215514015510;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144207;1496076215509559107;1496076215513998042;e752ce4c0f18;4;4
$1;1496076215517226905;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144207;1496076215507090953;1496076215517218615;e752ce4c0f18;3;3
$1;1496076215517288035;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144207;1496076215507059764;1496076215517277378;e752ce4c0f18;2;2
$1;1496076215522107125;HTTP_VisitsService.GET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144207;1496076215505614156;1496076215522067733;e752ce4c0f18;1;1
$1;1496076215912733600;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);DBAA39471194E8011F3C81A605FABAA6;6081829821787144214;1496076215909037468;1496076215912715221;e752ce4c0f18;4;4
$1;1496076215916360995;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);DBAA39471194E8011F3C81A605FABAA6;6081829821787144214;1496076215906500541;1496076215916352425;e752ce4c0f18;3;3
$1;1496076215916411386;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);DBAA39471194E8011F3C81A605FABAA6;6081829821787144214;1496076215906470371;1496076215916405141;e752ce4c0f18;2;2
$1;1496076215918675199;HTTP_VisitsService.GET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144214;1496076215904879536;1496076215918644451;e752ce4c0f18;1;1
$1;1496076216265824188;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144221;1496076216263032863;1496076216265810945;e752ce4c0f18;4;4
$1;1496076216269254874;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144221;1496076216260632055;1496076216269244689;e752ce4c0f18;3;3
$1;1496076216269312072;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144221;1496076216260598274;1496076216269306429;e752ce4c0f18;2;2
$1;1496076216272396456;HTTP_VisitsService.GET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144221;1496076216259488898;1496076216272352498;e752ce4c0f18;1;1
$1;1496076216601985197;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144228;1496076216599122112;1496076216601970837;e752ce4c0f18;4;4
$1;1496076216605087048;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144228;1496076216596683957;1496076216605078195;e752ce4c0f18;3;3
$1;1496076216605142332;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144228;1496076216596654305;1496076216605136075;e752ce4c0f18;2;2
$1;1496076216607274443;HTTP_VisitsService.GET;C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144228;1496076216595615410;1496076216607246140;e752ce4c0f18;1;1
$1;1496076216945269597;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);7EDC61EC47ECAB9A41694930E8416070;6081829821787144235;1496076216942563252;1496076216945255824;e752ce4c0f18;4;4
$1;1496076216948348784;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);7EDC61EC47ECAB9A41694930E8416070;6081829821787144235;1496076216939280061;1496076216948336739;e752ce4c0f18;3;3
$1;1496076216948413155;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);7EDC61EC47ECAB9A41694930E8416070;6081829821787144235;1496076216939250725;1496076216948406628;e752ce4c0f18;2;2
$1;1496076216950674238;HTTP_VisitsService.GET;7EDC61EC47ECAB9A41694930E8416070;6081829821787144235;1496076216938231413;1496076216950641735;e752ce4c0f18;1;1
$1;1496076217292731535;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);82467F8A5104173D0249930252DF9684;6081829821787144242;1496076217265370347;1496076217292712891;e752ce4c0f18;4;4
$1;1496076217296295478;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);82467F8A5104173D0249930252DF9684;6081829821787144242;1496076217263337586;1496076217296286736;e752ce4c0f18;3;3
$1;1496076217296353353;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);82467F8A5104173D0249930252DF9684;6081829821787144242;1496076217263304361;1496076217296348036;e752ce4c0f18;2;2
$1;1496076217308871499;HTTP_VisitsService.GET;82467F8A5104173D0249930252DF9684;6081829821787144242;1496076217262268355;1496076217308831606;e752ce4c0f18;1;1
$1;1496076217642349895;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);A7B513D3788B831F44CE4448FAAB926A;6081829821787144249;1496076217636904679;1496076217642329606;e752ce4c0f18;4;4
$1;1496076217646893129;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);A7B513D3788B831F44CE4448FAAB926A;6081829821787144249;1496076217633755334;1496076217646883299;e752ce4c0f18;3;3
$1;1496076217646954250;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);A7B513D3788B831F44CE4448FAAB926A;6081829821787144249;1496076217633720461;1496076217646948792;e752ce4c0f18;2;2
